Feature	Gain	Cover	Frequency
mes+2	0.999998555976965	0.115044285257009	0.0454545454545455
Master_mfinanciacion_limite	3.06951060182824e-07	0.00589646807504077	0.0454545454545455
mtransferencias_recibidas	2.54351498162798e-07	0.00472053346671507	0.0454545454545455
Visa_mpagominimo	1.98027557474002e-07	0.00418153991544336	0.0454545454545455
mcuenta_corriente	1.76857000661279e-07	0.0106342199793717	0.0454545454545455
ctarjeta_visa_transacciones	1.36938226721433e-07	0.0023867294960869	0.0454545454545455
ccallcenter_transacciones	7.40584227495009e-08	0.113704775491332	0.0454545454545455
mcaja_ahorro	6.83867296798779e-08	0.111318045995245	0.0454545454545455
ccaja_ahorro	6.04016097002025e-08	0.100683826015874	0.0454545454545455
mes	5.98345050315424e-08	0.0203201556772576	0.136363636363636
Visa_mpagosdolares	5.08369794196717e-08	0.0959632925491586	0.0454545454545455
catm_trx	1.19595515255825e-08	0.0053261426126975	0.0454545454545455
Visa_msaldopesos	1.15542848781578e-08	0.0900668244741179	0.0454545454545455
Visa_msaldototal	9.95070952067988e-09	0.00307476132705039	0.0454545454545455
Master_fultimo_cierre	8.99690673690874e-09	0.0815541418246011	0.0454545454545455
Visa_mfinanciacion_limite	7.95135234331359e-09	0.00218617703828195	0.0454545454545455
cinversion1	4.33710070513894e-09	0.0800351086765683	0.0454545454545455
mcomisiones	2.62953950222192e-09	0.0769603473495179	0.0454545454545455
mrentabilidad_annual	1.11920334593365e-18	0.0716342047368204	0.0454545454545455
cliente_antiguedad	6.99502091208528e-20	0.00430842004180975	0.0454545454545455
