max_depth	min_split	ganancia_promedio
4	1000	63527333
4	1000	63527333
4	800	63732667
4	600	63900667
4	400	63886667
4	200	63886667
4	100	63886667
4	50	63886667
4	20	63886667
4	10	63886667
6	1000	69332667
6	800	69841333
6	600	70284667
6	400	70653333
6	200	71031333
6	100	70676667
6	50	70793333
6	20	70499333
6	10	70294000
8	1000	69048000
8	800	69463333
8	600	69930000
8	400	69766667
8	200	69780667
8	100	68408667
8	50	69174000
8	20	67368000
8	10	65622667
10	1000	68721333
10	800	69547333
10	600	70373333
10	400	71008000
10	200	69188000
10	100	66439333
10	50	67690000
10	20	64264667
10	10	61343333
12	1000	66490667
12	800	67120667
12	600	67144000
12	400	67666667
12	200	65296000
12	100	59873333
12	50	61012000
12	20	55799333
12	10	51669333
14	1000	65282000
14	800	65949333
14	600	65814000
14	400	65720667
14	200	62547333
14	100	56634667
14	50	57213333
14	20	51160667
14	10	46484667
