fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230908 182606	-0.793229173950385	2879	973	12	5	5	66257800	1
20230908 182715	-0.581080192055379	5310	2141	14	5	5	58034200	2
20230908 182816	-0.593675275714486	6707	1995	13	5	5	52854200	3
20230908 182904	-0.460269474843517	6143	228	6	5	5	54462800	4
20230908 183008	-0.955742875898432	4609	1722	17	5	5	60355400	5
20230908 183044	-0.274035673818435	7239	2557	4	5	5	51884000	6
20230908 183146	-0.193544216651935	7861	1227	20	5	5	52158400	7
20230908 183246	-0.439990571970702	1872	477	8	5	5	71188600	8
20230908 183332	-0.669750222141738	7926	3526	6	5	5	52836000	9
20230908 183508	-0.0735609985888004	1174	185	17	5	5	73185000	10
20230908 183621	-0.0299716737092239	6296	1724	19	5	5	54726000	11
