fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231008 050716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	100005	0.0324529610009631	0.864491055151448	7173	837	9464	78260000	1
20231008 050752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	100005	0.150417623184621	0.617618601601571	2869	554	9809	76405000	2
20231008 050821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	100005	0.197220213756314	0.819615721292794	2704	58	10974	73010000	3
20231008 050901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	100005	0.159042483198573	0.715944000063464	1324	325	6919	77035000	4
20231008 050928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	100005	0.245275544337812	0.365400222539902	6591	166	8553	77630000	5
20231008 051029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	100005	0.0833892962278332	0.241289901966229	2018	432	11647	73605000	6
20231008 051100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	100005	0.131256086299662	0.951930922586471	3866	971	13514	68110000	7
20231008 051203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	100005	0.175098140045418	0.42440375062637	6332	756	5999	80395000	8
20231008 051249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	100005	0.205046159157995	0.752266823109239	4621	403	8496	78295000	9
20231008 051415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	100005	0.232002255491447	0.455750801311806	657	481	12982	67060000	10
20231008 051528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	100005	0.285716228411417	0.281384150125086	1637	211	7157	79555000	11
20231008 051548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	100005	0.282173398518236	0.762580471429974	5485	879	12114	69790000	12
