fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231013 214815	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	630	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.15951862059941	0.936781914830499	798	21377	10119	76771497.7511244	1
20231013 215144	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.12039115707099	0.504068952107045	470	15819	10816	75039244.3778111	2
20231013 215436	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.21416654685745	0.640365601475351	639	7400	8264	71484433.7831084	3
20231013 215655	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.271072203876101	0.184247061316128	414	26522	8691	75917742.6286857	4
20231013 215958	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	667	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.197494849054492	0.239496557023522	139	35414	11601	75934289.3553223	5
20231013 220244	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.186380294094561	0.534051611460309	868	22310	11665	73762631.1844078	6
20231013 220725	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	769	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0931829703436233	0.781188188207161	328	6207	9849	76474671.1644178	7
20231013 221113	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1351	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.12869377245137	0.712521125302737	532	47670	10526	78448674.6626687	8
20231013 221303	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.298572713762405	0.591987885960843	287	32549	9692	74980767.6161919	9
20231013 221605	673	968502	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0669730995548889	0.365529114024393	665	12053	9031	77269816.5917041	10
