Feature	Gain	Cover	Frequency
recibe_sueldo	0.0837685143493742	0.00492249755626773	0.00223181796128281
deudas	0.0829180296412611	0.00415259765191583	0.00320217359662316
mcaja_ahorro	0.0769122837046217	0.00891368691393879	0.00504584930376983
disminuye_saldo_ahorro	0.054880797493883	0.00603316673815568	0.0049488137402358
ctrx_quarter_lag1	0.0541706666125194	0.00440933720008014	0.00237737130658386
usa_tarjeta_visa	0.0432833011418713	0.0025876970195365	0.00354179806899229
disminuye_saldo_corriente	0.0364690366559514	0.00791354452019961	0.0115957498423172
mtarjeta_visa_consumo	0.0279586546941772	0.00138273365384369	0.00126146232594246
ctrx_quarter_lag3	0.0270042102289809	0.00394677206994674	0.00228033574304983
activos	0.0240205963081928	0.00818141352433017	0.00465770704963369
aumento_saldo_corriente	0.0179395130730332	0.0100331359515549	0.0117898209693853
mpasivos_margen	0.014763739152429	0.00468119549029449	0.00286254912425404
tiempo_sin_disminuir	0.0139462754220643	0.0106740750375179	0.022075590703993
aumento_saldo_ahorro	0.00980116539109674	0.00599422363577659	0.0103828052981418
tiempo_sin_disminuir_cc	0.00874696861489406	0.00813181479326662	0.0044151181407986
foto_mes	0.00836267288919787	0.00463671568682351	0.00470622483140071
cdescubierto_preacordado	0.00750399190327014	0.011076903967265	0.00475474261316773
tiene_debito_automatico	0.00741459060872103	0.00454087679301883	0.00815098733685896
mcuenta_corriente_lag1	0.00674162754976772	0.0039149493007228	0.00407549366842948
mprestamos_personales	0.00623600100882626	0.00874736767718169	0.00305662025132211
ctarjeta_debito_transacciones	0.00520903951390978	0.000324272634329436	0.00019407112706807
mcomisiones_lag3	0.00513959816091933	0.00319600468908134	0.00373586919606036
tcallcenter	0.0049412701361576	0.00551135486385447	0.00300810246955509
saldo_pos	0.00493286778576356	0.00473830182153036	0.00800543399155791
ctrx_quarter	0.00490770346881331	0.00937045926886416	0.00397845810489544
tiempo_sin_aumento	0.00465163810742825	0.00596828425953768	0.00504584930376983
thomebanking	0.00447578516966554	0.00449862696830915	0.00679248944738247
recibe_transferencias	0.00445442192699332	0.00599329296265382	0.0120809276599874
cmobile_app_trx	0.00440700218891604	0.0077446459077798	0.0144097811848042
tiene_visa	0.0042605467048789	0.00291781652923934	0.00169812236184562
cpayroll_trx	0.00410025367747208	0.000291089546502668	9.70355635340352e-05
mcuenta_corriente	0.00399293674615117	0.00844430546352404	0.00621027606617825
Master_fechaalta	0.00396166202257452	0.00599404059688372	0.00912134297219931
mcomisiones_otras	0.00396085031046177	0.00560168004913755	0.0068895250109165
Master_Fvencimiento_lag1	0.00385356921605966	0.00514431935491367	0.00819950511862598
mcomisiones_lag2	0.00383038450891757	0.00325603919176838	0.00407549366842948
mrentabilidad_annual_lag2	0.00381159992951223	0.00478763576234002	0.00422104701373053
mcomisiones_mantenimiento	0.00364825789170719	0.00574974814426913	0.00261996021541895
mcomisiones_otras_lag2	0.00350287663676993	0.00355815810893134	0.00417252923196352
cajaahorro_saldo_pos	0.00341891104385736	0.00381340058529701	0.00528843821260492
usa_tarjeta_debito	0.00339955123335571	0.00470722338041509	0.00887875406336422
mrentabilidad_annual_lag1	0.00323827828839241	0.00432137709369357	0.00363883363252632
mrentabilidad_annual_lag3	0.00322275985786303	0.00578098963727171	0.00465770704963369
Master_fechaalta_lag1	0.00320014702718636	0.00819750050906227	0.0101887341710737
mcomisiones_otras_lag3	0.00319403500122203	0.00626234540790206	0.00499733152200281
cproductos	0.0030585702354765	0.0107171841531877	0.00378438697782737
Master_fechaalta_lag3	0.00298745672713971	0.00664209956516713	0.00941244966280142
Visa_fechaalta	0.00298695524425783	0.00671004035618968	0.00810246955509194
Master_Fvencimiento	0.00295138967574424	0.00591251390183021	0.00868468293629615
mpayroll	0.0029460978620249	0.0018268148613622	0.0008248022900393
Master_Fvencimiento_lag3	0.00290413453533958	0.00607338059330824	0.00907282519043229
balance	0.00284504980189009	0.00355763273621421	0.00223181796128281
Visa_Fvencimiento_lag3	0.00282826719468778	0.00471171594831516	0.00718063170151861
Visa_mconsumospesos_lag3	0.00280556786815307	0.00527520012806062	0.00800543399155791
Master_fechaalta_lag2	0.00276991341080616	0.0057813680378729	0.00824802290039299
Visa_mconsumototal	0.00270268983127876	0.00481796972506837	0.00785988064625685
mcomisiones_otras_lag1	0.00265542672161683	0.00372930172793617	0.00426956479549755
mactivos_margen	0.00264776915583902	0.00692572419051683	0.00368735141429334
Visa_mpagominimo	0.00262876176369398	0.00551357928232099	0.00611324050264422
mcomisiones	0.0025878222525563	0.00436132149996689	0.00562806268497404
thomebanking_lag1	0.0025686336307683	0.00404755947582305	0.00625879384794527
Master_Fvencimiento_lag2	0.00248958852034444	0.00545758260558835	0.00747173839212071
mcuentas_saldo	0.00247104020240974	0.00749256318162878	0.00417252923196352
mtarjeta_visa_consumo_lag2	0.00246806830304814	0.00364851244819243	0.00252292465188492
hace_transferencias	0.00243098732768107	0.00532701396033999	0.00815098733685896
Visa_mconsumototal_lag3	0.00241818752480566	0.00486506031235362	0.00776284508272282
Visa_mconsumospesos	0.00240356470183451	0.00498995956082668	0.00785988064625685
Visa_mpagospesos_lag3	0.00239483179996392	0.00506894219560321	0.00718063170151861
Visa_Fvencimiento	0.00236086321745683	0.00519519214487191	0.0074232206103537
Visa_Fvencimiento_lag1	0.00235665351811475	0.00612171939163139	0.00737470282858668
Visa_fechaalta_lag3	0.00230188107855272	0.00594179035660362	0.00708359613798457
Visa_fechaalta_lag2	0.00229331632885869	0.00537674163013103	0.00708359613798457
mrentabilidad	0.00221313627361134	0.00431613974685011	0.00354179806899229
Visa_mpagospesos	0.00218654685574494	0.00436448275296391	0.00718063170151861
