Feature	Gain	Cover	Frequency
ctrx_quarter	0.203315515853923	0.0277329791137323	0.0217257462686567
mcaja_ahorro	0.0821807316023245	0.0146088785797968	0.0200186567164179
cpayroll_trx	0.055075018296639	0.0255611440433493	0.00381529850746269
mpayroll	0.0416685520758743	0.0241760769856965	0.0082089552238806
mpasivos_margen	0.0409975105121323	0.016542606547499	0.0190671641791045
mcuentas_saldo	0.0358205749259905	0.0225025125131512	0.0254011194029851
mprestamos_personales	0.0347887491990564	0.0334240488907069	0.0103171641791045
mtarjeta_visa_consumo	0.0331431121580712	0.0156560260921826	0.013125
mrentabilidad_annual	0.0223817372785197	0.0230064844255506	0.032919776119403
cproductos	0.0217328907784171	0.0162141023899666	0.0112686567164179
Visa_msaldopesos	0.0187415513027336	0.0122298193300801	0.0158768656716418
mcuenta_corriente	0.0183772581931256	0.0165063903451298	0.0196641791044776
cprestamos_personales	0.0178823798406016	0.008029401416076	0.00479477611940299
mactivos_margen	0.0148997249958496	0.0185624348115733	0.0246082089552239
mcomisiones_mantenimiento	0.0143835842553187	0.0191568383997544	0.0138246268656716
ctarjeta_visa_transacciones	0.0139529417971824	0.0164191004434936	0.0147108208955224
Master_status	0.013481789515172	0.010009794483909	0.0023134328358209
Visa_msaldototal	0.0124993917149857	0.00919755750867349	0.011660447761194
Master_fechaalta	0.0104553923573745	0.0147131554665848	0.0265578358208955
Visa_mpagominimo	0.010453965092883	0.0121543873980614	0.0181529850746269
cdescubierto_preacordado	0.00998958876930237	0.0102591207247837	0.00271455223880597
mrentabilidad	0.00972396287725662	0.00913028979408011	0.0191324626865672
cliente_edad	0.00956743540834269	0.0196265256566338	0.0304757462686567
Visa_fechaalta	0.00943323455506122	0.0106537507083186	0.0255503731343284
mautoservicio	0.00850864414648098	0.0128404428240222	0.0115111940298507
Visa_status	0.0078602816095184	0.00860154299356133	0.00209888059701493
Visa_mpagospesos	0.00775133856074291	0.00689600684467951	0.0161194029850746
Visa_Fvencimiento	0.00770305423636953	0.0119303326298645	0.0244682835820896
Master_Fvencimiento	0.00758979349055561	0.0105693070987156	0.0257835820895522
chomebanking_transacciones	0.00756905001664653	0.0179656636033494	0.0212779850746269
numero_de_cliente	0.00745551061229966	0.013043797437049	0.0264832089552239
mtransferencias_recibidas	0.00700922980173956	0.00950286203040696	0.0184421641791045
cliente_antiguedad	0.00697661581105962	0.0128732758088898	0.0237873134328358
Visa_mfinanciacion_limite	0.00619248544625873	0.0132331837089789	0.0186847014925373
mcomisiones_otras	0.00616375363423523	0.00858564506245043	0.0180597014925373
ccomisiones_mantenimiento	0.00616160393199603	0.0132531261173567	0.00582089552238806
Master_mfinanciacion_limite	0.00569808813240638	0.0108632049271294	0.0204291044776119
mcomisiones	0.00567605656233755	0.00907002423786632	0.0158675373134328
ccaja_seguridad	0.00512310808674844	0.0147956171032014	0.00248134328358209
mcaja_ahorro_dolares	0.00503624241746998	0.0105840520023277	0.0172108208955224
