Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.141855547641241	0.050471335325816	0.0167539267015707
deudas	0.118917341622851	0.0411683100487734	0.0387434554973822
recibe_sueldo	0.10284424340491	0.138850016466964	0.050261780104712
ctrx_quarter	0.0962690115579121	0.0429201361503391	0.0178010471204189
mcaja_ahorro	0.0828747370528122	0.0307221781775993	0.012565445026178
mpasivos_margen	0.0687136877001708	0.0367628397163718	0.0230366492146597
disminuye_saldo_corriente	0.0645303696335936	0.0222080952696965	0.0293193717277487
disminuye_saldo_ahorro	0.0631413359140305	0.0520605178109284	0.0743455497382199
usa_tarjeta_visa	0.0604560584407037	0.0804423821746307	0.0418848167539267
mcaja_ahorro_lag1	0.0309824943314665	0.00599587738423955	0.00418848167539267
ctrx_quarter_lag2	0.0184991374989852	0.0167282730862235	0.00837696335078534
aumento_saldo_corriente	0.0156257513787234	0.0164185838228373	0.031413612565445
saldo_pos	0.015174886216522	0.00141706373276644	0.00418848167539267
mpasivos_margen_lag3	0.0114738306553845	0.0002728831000451	0.00104712041884817
mtarjeta_visa_consumo	0.0111275622499915	0.0225713440710938	0.0178010471204189
mcuenta_corriente	0.00940676013059775	0.000790630725256275	0.00209424083769634
aumento_saldo_ahorro	0.0081970089446812	0.0240085826423712	0.0408376963350785
activos	0.00738347174811136	0.00903423084662914	0.0136125654450262
mcuentas_saldo	0.00688362721383201	0.00797511895221482	0.0136125654450262
cpayroll_trx	0.00666719567676966	0.00397179063681148	0.00104712041884817
mcomisiones_lag3	0.0066053677449608	0.0146066685168338	0.018848167539267
ctrx_quarter_lag3	0.00598202315735257	0.00423853462991706	0.00209424083769634
mpayroll	0.00459465589723372	0.0113342193934722	0.00628272251308901
tiempo_sin_disminuir	0.00424485911489606	0.002718993783367	0.00837696335078534
tiempo_sin_aumento	0.0041918649965649	0.00847492118265449	0.0157068062827225
mpasivos_margen_lag1	0.00405654388769797	0.00799546059217346	0.0115183246073298
mcomisiones_otras_lag2	0.00354080645215668	0.00823848216475928	0.0115183246073298
total_tarjetas	0.00228693007229189	0.000771928621478305	0.00104712041884817
mcomisiones_otras_lag3	0.0022408851580176	0.00649572843461512	0.00628272251308901
tiene_visa	0.00221973620655487	0.000708816649342641	0.00104712041884817
Visa_mpagominimo	0.00174008644927427	0.00336899868326124	0.00628272251308901
ctarjeta_master	0.00172209940114908	0.00448007939944188	0.00523560209424084
Visa_msaldopesos	0.00116510364857786	0.00597667894444659	0.00523560209424084
mrentabilidad_annual_lag3	0.00102772726475154	0.00258752983264233	0.0031413612565445
balance	0.000957012282658413	0.000748519462213907	0.00209424083769634
mrentabilidad_annual_lag1	0.000955979935131	0.0021974219298436	0.00523560209424084
mcomisiones_lag2	0.000909240370979125	0.00425707806890335	0.00732984293193717
mcomisiones	0.000823697575859184	0.000322756732895683	0.00104712041884817
ctarjeta_visa_transacciones	0.000782239087530299	0.00145563148212801	0.00209424083769634
mcaja_ahorro_lag2	0.000723040186945955	0.00146845078362995	0.00418848167539267
mpasivos_margen_lag2	0.000583704475367397	0.00245923510942321	0.00418848167539267
mrentabilidad_annual_lag2	0.000567153169040973	0.00297778826357675	0.00628272251308901
mprestamos_personales_lag1	0.000542081310511626	0.000466751133834875	0.00104712041884817
Visa_mconsumototal	0.000437655332479679	0.000605924566103869	0.00209424083769634
mcomisiones_otras	0.000423750490982084	0.000438700012331916	0.00104712041884817
Visa_mpagominimo_lag1	0.000390553167143954	0.000483113949017601	0.00104712041884817
usa_tarjeta_debito	0.000387867961479642	0.0510938383284861	0.0345549738219895
Visa_mpagospesos	0.000373055680957979	0.000545937069865852	0.00104712041884817
Visa_msaldototal	0.000329940645272052	0.000898787224916341	0.00209424083769634
mcuenta_corriente_lag3	0.000310355021212782	0.00112269579259703	0.0031413612565445
mprestamos_personales	0.000293960505739409	0.00205465616395791	0.00209424083769634
mcomisiones_otras_lag1	0.000291045521956099	0.00113212210855386	0.00209424083769634
tiempo_sin_aumento_cc	0.000253516802365747	0.000310356469176899	0.00104712041884817
pago_mis_cuentas	0.000214057538178704	0.00277392027958331	0.00837696335078534
mrentabilidad_annual	0.000166089277955293	0.00110599530619099	0.0031413612565445
Visa_madelantodolares	0.000165875859699495	0.0059988554003295	0.0031413612565445
Visa_mpagosdolares	0.00016315582362059	0.000288517684517307	0.00104712041884817
Master_mpagosdolares	0.00015276553871169	0.00106666271116697	0.00418848167539267
mprestamos_personales_lag2	0.00014638824632168	0.00202475802154671	0.0031413612565445
mcomisiones_lag1	0.00014067968452188	0.00187926240757857	0.00418848167539267
Master_cadelantosefectivo_lag1	0.000130470488751389	0.000843392870980984	0.0031413612565445
Master_madelantodolares	0.000124489496832787	0.0015052081270352	0.00523560209424084
mcaja_ahorro_lag3	0.000112073771322172	0.000868258491666421	0.00209424083769634
mcuenta_corriente_lag1	9.86031294829854e-05	0.000264095511582969	0.00104712041884817
mttarjeta_visa_debitos_automaticos	9.31692910678268e-05	0.00133640099367447	0.0031413612565445
mcomisiones_mantenimiento_lag3	8.57784286569222e-05	0.000312044825293466	0.00104712041884817
Master_msaldototal	8.36655578379188e-05	0.000443390794506377	0.00104712041884817
foto_mes	8.3179675489622e-05	0.000841956751199905	0.0031413612565445
mtransferencias_recibidas_lag1	6.86378457177019e-05	0.00427735868394211	0.00942408376963351
mcuenta_debitos_automaticos	5.02147472320121e-05	0.00254867730032134	0.00628272251308901
Visa_fechaalta_lag3	4.81364216208366e-05	0.000880048506186446	0.00209424083769634
Master_cconsumos_lag3	4.72954355726211e-05	0.000274270399890279	0.00104712041884817
mautoservicio	4.60557723574831e-05	0.0111783658164371	0.00942408376963351
ccomisiones_otras_lag3	4.57916392432388e-05	0.000615887901355609	0.00104712041884817
Visa_mpagospesos_lag3	4.43707590310587e-05	0.000532035593118121	0.00209424083769634
mcuenta_debitos_automaticos_lag1	4.21622325249602e-05	0.0014711277434485	0.0031413612565445
mcaja_ahorro_dolares	3.92553345405035e-05	0.0010384203782484	0.0031413612565445
mtransferencias_recibidas	3.48440125688104e-05	0.00109152019519642	0.0031413612565445
Visa_mpagospesos_lag1	3.38075353314461e-05	0.000619948092691353	0.00209424083769634
hace_transferencias	3.35548119983054e-05	0.00042990021888581	0.00104712041884817
mtransferencias_emitidas_lag2	2.93194124371802e-05	0.000269856264019255	0.00104712041884817
mpayroll_lag3	2.93060179502323e-05	0.0160129349071101	0.0115183246073298
Master_msaldopesos	2.39919395187804e-05	0.000341727346321107	0.00104712041884817
mpayroll_lag1	2.29622554985186e-05	0.00697546973972758	0.00523560209424084
tiene_debito_automatico	2.2103826499984e-05	0.0005418321269222	0.00209424083769634
mprestamos_personales_lag3	2.18816334719784e-05	0.000429611367598397	0.00104712041884817
Master_mpagominimo_lag2	2.09633543959085e-05	0.000259518642592276	0.00104712041884817
tcallcenter	2.08435752009553e-05	0.0233780568969014	0.0178010471204189
Visa_madelantodolares_lag2	1.93972014759563e-05	0.00171687509578878	0.00104712041884817
cliente_edad_lag2	1.92966059142151e-05	0.000269290766428405	0.00104712041884817
mactivos_margen	1.73578902835175e-05	0.000956150649599694	0.00209424083769634
mrentabilidad_lag3	1.45151485279209e-05	0.00046584389669272	0.00104712041884817
Master_mconsumosdolares	1.44940004385569e-05	0.000869487126719922	0.0031413612565445
Master_mconsumospesos	1.36179804167792e-05	0.000875866265010951	0.00209424083769634
mpagomiscuentas	1.31054663955172e-05	0.000561819822345555	0.00209424083769634
mcuentas_saldo_lag1	1.24935395314234e-05	0.00113222788508165	0.0031413612565445
mautoservicio_lag2	1.21430505900265e-05	0.00422811157360225	0.00418848167539267
ctarjeta_debito_transacciones_lag1	1.19983909900672e-05	0.00528279712716158	0.00523560209424084
Master_fechaalta_lag3	1.17311576904318e-05	0.00224116459241065	0.0031413612565445
mautoservicio_lag3	9.55866837909648e-06	0.00774931861201798	0.00732984293193717
Master_madelantopesos	9.4209999219351e-06	0.000814995941598729	0.0031413612565445
