Feature	Gain	Cover	Frequency
mcaja_ahorro	0.126121431939033	0.0817879754050709	0.0473251028806584
ctarjeta_visa	0.105667685129572	0.0146540438414793	0.00617283950617284
Visa_status	0.104255513255871	0.0451271799414043	0.0267489711934156
cdescubierto_preacordado	0.0838753802281203	0.0287450654052722	0.037037037037037
ctrx_quarter	0.0793569417505022	0.0688738070687167	0.0390946502057613
mcaja_ahorro_lag1	0.0568348834233742	0.0451459140796499	0.037037037037037
mtarjeta_visa_consumo	0.0460719803812219	0.0878372721528418	0.065843621399177
mcuenta_corriente	0.0444338356770104	0.0351041920404776	0.0390946502057613
Visa_delinquency_lag1	0.0374588414324477	0.0204117969610732	0.0102880658436214
Master_status	0.0291132995500592	0.0174073415312805	0.0246913580246914
mcuentas_saldo	0.0222410318448545	0.0309098181133357	0.0390946502057613
ctrx_quarter_lag1	0.0208798058705737	0.0148567922611271	0.0123456790123457
Visa_mpagospesos	0.0186876636791962	0.0338653715558978	0.0288065843621399
Visa_Finiciomora	0.0176301004453659	0.0278162219683658	0.0123456790123457
cpayroll_trx	0.0169466905399665	0.0199857680693083	0.00823045267489712
internet	0.0164254013968473	0.00522522500272678	0.0205761316872428
Visa_delinquency	0.0158495253654364	0.0383791727773623	0.037037037037037
ctarjeta_visa_transacciones	0.0140968455603279	0.046958384370477	0.0349794238683128
mprestamos_personales	0.0140171210955382	0.0236615813057409	0.0390946502057613
mpayroll	0.0121731102109609	0.055406085896139	0.0411522633744856
mautoservicio	0.0101171744336058	0.0240966189634382	0.0205761316872428
Visa_msaldototal	0.00987426453126841	0.0229548602538538	0.0246913580246914
Visa_mpagominimo	0.0095223151817669	0.019776826123082	0.01440329218107
Visa_mconsumototal	0.00831556362724753	0.0104326308199979	0.01440329218107
mcuenta_corriente_lag1	0.00828743136560889	0.00580378228302949	0.0123456790123457
Visa_mconsumospesos	0.00817429309616501	0.00782943017565616	0.00617283950617284
Visa_Finiciomora_lag1	0.00657961678645263	0.00663487932991571	0.00411522633744856
Visa_msaldototal_lag1	0.00644496493639153	0.0111625072155704	0.00823045267489712
mprestamos_personales_lag1	0.0047903026194026	0.00864283600251189	0.0185185185185185
mpayroll_lag1	0.00477834134132961	0.0138171307660189	0.0185185185185185
ctarjeta_debito_transacciones	0.0039522332158109	0.00705623108539052	0.00617283950617284
Visa_msaldopesos	0.00391903047971211	0.0161885540340118	0.0205761316872428
matm_lag1	0.0035051550619491	0.00130776185739307	0.00205761316872428
mcuentas_saldo_lag1	0.0030504819278033	0.00630996871712428	0.01440329218107
Visa_mpagominimo_lag1	0.0019586390995864	0.00924097839113767	0.0102880658436214
mextraccion_autoservicio	0.00184678383203675	0.00527966149459637	0.0102880658436214
