Feature	Gain	Cover	Frequency
Visa_status	0.137189169542177	0.0188782062353268	0.00956429330499469
mcuenta_corriente	0.136970401221326	0.00961656984972807	0.00850159404888417
ctrx_quarter	0.110642712979675	0.0219580815541699	0.00478214665249734
mcaja_ahorro	0.0712910376942036	0.0327943455276363	0.0100956429330499
cdescubierto_preacordado	0.0693152890539265	0.010198224163366	0.0103613177470776
mcaja_ahorro_lag1	0.0411485737945326	0.00801364058065822	0.00345377258235919
mtarjeta_visa_consumo	0.0381574096176381	0.038072574750506	0.0132837407013815
ctrx_quarter_lag1	0.0329095435089949	0.0105974321651558	0.00345377258235919
mpayroll	0.0294294291627722	0.0599337656497956	0.0178002125398512
mprestamos_personales	0.0276859999638518	0.0301710336581571	0.0209883103081828
mcuentas_saldo	0.0264073940305548	0.0383476319944839	0.0185972369819341
Visa_Finiciomora_lag1	0.0222490174357438	0.00553967730663641	0.00159404888416578
mcuenta_corriente_lag1	0.0219209767715227	0.00151816747978116	0.00212539851222104
Visa_mpagospesos	0.0219028264030924	0.0175618572294399	0.012221041445271
Visa_delinquency	0.0194803941237951	0.0189948988152074	0.00929861849096706
Visa_Finiciomora	0.0166729208169451	0.016372180854255	0.00425079702444208
ctarjeta_visa_transacciones	0.011039106281191	0.0272145152294471	0.00929861849096706
mautoservicio	0.00965391393412525	0.0194096081279921	0.0108926673751328
mpayroll_lag1	0.00932625399370986	0.0171328105469941	0.0087672688629118
Visa_msaldopesos	0.00708369158914858	0.0182481349466658	0.0108926673751328
matm	0.0061082954867392	0.0036697070664675	0.00239107332624867
mprestamos_personales_lag1	0.00567739131132033	0.0119765922205611	0.00956429330499469
internet	0.00542336655421406	0.00379134788924939	0.00637619553666312
Master_status	0.00501273974320906	0.0102013668049674	0.00797024442082891
Master_delinquency	0.00499378573584859	0.007384306454842	0.00451647183846971
Visa_msaldototal	0.00450174199119428	0.011053909065036	0.00850159404888417
Visa_mpagominimo_lag1	0.00307709742027991	0.00806777579054194	0.00982996811902232
ctarjeta_debito_transacciones	0.00286269058501594	0.00674434763377323	0.00239107332624867
Visa_mpagominimo	0.00278281424284064	0.0135101893841782	0.0132837407013815
Master_Finiciomora	0.0026765069740058	0.00503343743803691	0.00132837407013815
ccaja_ahorro	0.00258165285218517	0.0119736555070419	0.00159404888416578
tcallcenter	0.00238476977647041	0.0087478786497686	0.00823591923485654
Visa_msaldopesos_lag1	0.00226231566571021	0.0109520641983243	0.00717321997874601
mactivos_margen	0.00222925459589789	0.0080744371163295	0.0053134962805526
mprestamos_personales_lag3	0.00221675444248978	0.00603759350246642	0.00345377258235919
Visa_delinquency_lag1	0.00204463825068252	0.00365139140501668	0.00318809776833156
mautoservicio_lag1	0.00202955036151714	0.00272299896802574	0.00451647183846971
