Feature	Gain	Cover	Frequency
cdescubierto_preacordado	0.231333981300885	0.00897930953868042	0.00490196078431373
ctrx_quarter	0.141248307940521	0.0439795106047424	0.0163398692810458
mcaja_ahorro_lag1	0.0925448631798827	0.016325786808058	0.0065359477124183
mcaja_ahorro	0.0709554211784232	0.0520279189829176	0.0196078431372549
Visa_status	0.0420624153348185	0.0430545696994231	0.0179738562091503
mcuentas_saldo	0.0410219987987224	0.032539106192173	0.0294117647058824
Visa_delinquency_lag1	0.0401107469495878	0.0103920103334536	0.00490196078431373
Master_status	0.0350472672170639	0.00993086798113431	0.00816993464052288
ctarjeta_visa_transacciones	0.0293535058589264	0.0326297872175016	0.0163398692810458
mcuenta_corriente	0.0274687290489698	0.0220638373872092	0.0163398692810458
Visa_delinquency	0.0237755943243456	0.0184929966770189	0.0130718954248366
mprestamos_personales	0.022259339590949	0.0363534473898502	0.0245098039215686
mtarjeta_visa_consumo	0.0211518759170767	0.0496430117187965	0.0212418300653595
ctrx_quarter_lag1	0.0211150496692222	0.0158594801352515	0.00490196078431373
mautoservicio	0.0193705571011968	0.0291007515891045	0.0147058823529412
Visa_Finiciomora	0.0172967379999292	0.0144629849411469	0.00326797385620915
mpayroll	0.0126898982235373	0.0525767622329726	0.0277777777777778
mcuentas_saldo_lag1	0.0112377244146793	0.00231899276499986	0.00326797385620915
Visa_mpagospesos	0.0102029907034239	0.0159105865469544	0.00980392156862745
Visa_msaldototal	0.00879294057306438	0.0234691619034371	0.0130718954248366
mpayroll_lag1	0.00629187796841018	0.0298838495270644	0.0130718954248366
Visa_mpagominimo_lag1	0.00572185725584205	0.00359758781808987	0.00816993464052288
mextraccion_autoservicio	0.00508647838068367	0.0107817129190336	0.00490196078431373
mtarjeta_visa_consumo_lag1	0.00500846919871509	0.00614322761608349	0.00490196078431373
internet	0.00499431377234281	0.00190085865157649	0.00490196078431373
mcuenta_corriente_lag1	0.00439641880035411	0.0032904032996491	0.0065359477124183
Master_Finiciomora	0.00419296727333176	0.0144629849411469	0.00326797385620915
mactivos_margen	0.00359837554263331	0.0121614934844647	0.0179738562091503
Visa_mpagominimo	0.00257457352515145	0.0188480298279305	0.0163398692810458
cdescubierto_preacordado_lag1	0.00240844281261485	0.00454621240822399	0.00816993464052288
mprestamos_personales_lag1	0.00237593511051308	0.00801260982684117	0.0065359477124183
mrentabilidad	0.00183167032045436	0.00463515348328095	0.00816993464052288
ctarjeta_visa	0.00181159993442969	0.00332648875767689	0.00163398692810458
Visa_fechaalta	0.00180817803022452	0.00692732509994418	0.011437908496732
mpasivos_margen	0.00150148347202762	0.00755346656632336	0.0179738562091503
thomebanking_lag1	0.00146430488280765	0.000380965814003111	0.00163398692810458
Visa_msaldopesos	0.00143624897719706	0.022141478040555	0.0163398692810458
internet_lag1	0.0012324812823343	0.00234751684338962	0.00490196078431373
Master_msaldototal	0.0011359188112815	0.0104695862014169	0.011437908496732
Master_mpagospesos	0.00111024564554764	0.00346923872039059	0.00326797385620915
thomebanking	0.00111016360475569	0.00368774130530422	0.00816993464052288
Master_fechaalta	0.000995920291179524	0.0067967177689136	0.00980392156862745
Visa_mconsumosdolares_lag1	0.000957588385687913	0.000462465825132314	0.00163398692810458
Visa_mconsumospesos	0.000877498243945976	0.00281925623326773	0.00816993464052288
Master_fechaalta_lag1	0.000859483112952094	0.00609175100219516	0.00980392156862745
mrentabilidad_annual	0.000756154451151168	0.00318117514482888	0.0065359477124183
Visa_mconsumototal_lag1	0.000748103993475502	0.00422679270755374	0.00816993464052288
mrentabilidad_annual_lag1	0.000716853021692476	0.00369877333043095	0.00980392156862745
mcomisiones_otras	0.000529036707951407	0.00454445394784305	0.0130718954248366
Visa_msaldototal_lag1	0.000500159529160316	0.00605311114908769	0.0065359477124183
mcuenta_debitos_automaticos	0.000485266969458538	0.00874943249161851	0.00490196078431373
mpasivos_margen_lag1	0.000464360617524847	0.0029104277764921	0.0065359477124183
chomebanking_transacciones	0.000455576773369185	0.00811586847142083	0.0147058823529412
mextraccion_autoservicio_lag1	0.000423909449328446	0.000988587916054618	0.00326797385620915
mactivos_margen_lag1	0.000410826134718971	0.00323508583808661	0.0065359477124183
cdescubierto_preacordado_lag3	0.000373228422477305	0.00166849199481735	0.00163398692810458
Master_Fvencimiento	0.00034168964942433	0.00128902549966536	0.00326797385620915
cmobile_app_trx_lag3	0.000293953359589493	0.00118961695781449	0.00326797385620915
mcomisiones	0.000281772810186919	0.00350938714740382	0.00980392156862745
Visa_mconsumototal	0.000274495140639469	0.00236767435238796	0.00326797385620915
Master_mpagominimo	0.000272359230631193	0.00593452613402994	0.00490196078431373
mttarjeta_visa_debitos_automaticos	0.000270284458542057	0.00573880949363144	0.0130718954248366
Visa_mpagospesos_lag1	0.000266777255942812	0.00172603992454724	0.00490196078431373
Visa_fechaalta_lag1	0.000258578830662486	0.00579967998797583	0.0065359477124183
Visa_mfinanciacion_limite	0.000253030115521439	0.00141675450870399	0.00326797385620915
mcomisiones_otras_lag1	0.000237981431952499	0.0019708823949564	0.00326797385620915
Visa_msaldopesos_lag1	0.000232409236712664	0.00336639655326957	0.00326797385620915
Visa_delinquency_lag3	0.00022010651076181	0.00139282093741394	0.00163398692810458
Visa_Fvencimiento	0.000218323147353686	0.00133341274170211	0.00326797385620915
matm	0.000210373463650894	0.000615063165979271	0.00163398692810458
Master_fechaalta_lag3	0.000208381906235393	0.00728752257134294	0.00980392156862745
Master_msaldototal_lag1	0.000201963795270058	0.00352088192526238	0.00163398692810458
Visa_cconsumos_lag3	0.000186612177779488	0.000810344818809862	0.00326797385620915
Visa_fechaalta_lag3	0.000182156680304976	0.00691070302181699	0.011437908496732
foto_mes	0.000181368526433248	0.00253838383515859	0.00326797385620915
Visa_mpagosdolares_lag3	0.000181225386684921	0.000488926026338127	0.00163398692810458
mtransferencias_emitidas_lag1	0.000176610249518647	0.00239355148515168	0.00326797385620915
cmobile_app_trx	0.000166480051042667	0.00332749755863228	0.00816993464052288
ctarjeta_visa_debitos_automaticos_lag3	0.000162861736019312	0.00193005834895471	0.0065359477124183
Visa_mpagosdolares	0.000152595140613024	0.000434654385949568	0.00163398692810458
mtransferencias_emitidas	0.000148317266782564	0.0036903975059849	0.00490196078431373
cliente_edad	0.000141531505359494	0.00327485480785974	0.00490196078431373
Master_delinquency	0.000139054511336271	0.0037310457059485	0.00326797385620915
Master_mconsumosdolares_lag3	0.000135553131307952	0.00103377109279011	0.00326797385620915
mcomisiones_lag1	0.000128180380288654	0.00337677146951711	0.00490196078431373
ccajas_transacciones	0.0001191688485329	0.00383041722758082	0.00326797385620915
mcomisiones_mantenimiento	0.000116524248336263	0.00378966722201622	0.00163398692810458
thomebanking_lag3	0.000104945574086456	0.000935917400118178	0.00163398692810458
Visa_msaldototal_lag3	0.000101333709626146	0.00522897629886941	0.00490196078431373
Master_msaldodolares_lag3	0.000100585942817156	0.00143298787453644	0.00163398692810458
mttarjeta_visa_debitos_automaticos_lag6	9.86354421583135e-05	0.00242370445315746	0.00490196078431373
Master_msaldodolares_lag1	9.69017442920762e-05	0.00118499868555087	0.00163398692810458
cmobile_app_trx_lag1	9.26305876696644e-05	0.00452717476083666	0.0065359477124183
mactivos_margen_lag3	9.20240016515742e-05	0.000865597494989892	0.00163398692810458
Master_madelantodolares	9.19162622798942e-05	0.00154806522388694	0.00490196078431373
mttarjeta_visa_debitos_automaticos_lag1	8.49056959751174e-05	0.00141542178083633	0.00490196078431373
Visa_mlimitecompra_lag1	8.23445870261169e-05	0.000394700315083708	0.00163398692810458
ccajas_transacciones_lag1	8.21633111535493e-05	0.00423574234538726	0.00490196078431373
ccomisiones_otras_lag1	7.94786366919055e-05	0.00148864777312048	0.00326797385620915
Visa_status_lag3	7.7741633085009e-05	0.0010200828669827	0.00163398692810458
mcomisiones_otras_lag3	7.72261205096778e-05	0.00196193275712289	0.0065359477124183
Master_mconsumosdolares_lag6	7.71756237393165e-05	0.00227882582787736	0.00490196078431373
Visa_mfinanciacion_limite_lag3	7.13685463677107e-05	0.00160884316768498	0.00326797385620915
Visa_fechaalta_lag6	7.03481114197863e-05	0.000774870194388077	0.00163398692810458
Visa_mconsumosdolares_lag6	6.93699058091615e-05	0.00117350390769231	0.00326797385620915
Master_msaldodolares_lag6	6.66200357542905e-05	0.00181464781763729	0.00163398692810458
Master_mfinanciacion_limite_lag3	6.56255350800071e-05	0.0024532373325026	0.00326797385620915
Master_mconsumosdolares	5.98787220125083e-05	0.00308921692196041	0.00490196078431373
tmobile_app	5.94256076545362e-05	0.00194965129962022	0.00326797385620915
chomebanking_transacciones_lag3	5.7594654344821e-05	0.00159672830116577	0.00326797385620915
tmobile_app_lag6	5.72300401067565e-05	0.00172573450774424	0.00490196078431373
ccomisiones_otras_lag3	5.5718098029093e-05	0.000881266302489522	0.00326797385620915
Master_mfinanciacion_limite_lag1	5.51757626373501e-05	0.000736767134449521	0.00163398692810458
Visa_mconsumototal_lag3	5.51128490706621e-05	0.00175121367315858	0.00490196078431373
cmobile_app_trx_lag6	5.4996742085736e-05	0.00151117457610577	0.00490196078431373
numero_de_cliente	5.46411096893896e-05	0.00565501422895237	0.00326797385620915
mrentabilidad_lag1	5.41410313377118e-05	0.00380271684905371	0.011437908496732
chomebanking_transacciones_lag6	5.16270959185513e-05	0.000823014988607259	0.00326797385620915
matm_other_lag6	5.09900447160583e-05	0.00119155126423352	0.00163398692810458
Master_mpagominimo_lag6	5.08546531483399e-05	0.0027714538760701	0.00490196078431373
cliente_antiguedad	5.0116596764228e-05	0.00107581680600383	0.00326797385620915
Visa_mpagominimo_lag3	4.95756248638267e-05	0.00062208775244839	0.00163398692810458
mcaja_ahorro_lag3	4.86615849694818e-05	0.00111035666990732	0.00163398692810458
Master_madelantopesos_lag1	4.82167964544806e-05	0.000466889741248571	0.00163398692810458
Master_mpagominimo_lag3	4.71887732855585e-05	0.00057766349019309	0.00163398692810458
mcomisiones_mantenimiento_lag1	4.54317067992351e-05	0.00294728140405472	0.00163398692810458
mactivos_margen_lag6	4.42797478002141e-05	0.00127398603588101	0.00490196078431373
Visa_cconsumos	4.24181553774094e-05	0.000422937486779733	0.00163398692810458
Master_fultimo_cierre	4.22128636509188e-05	0.000379577555807632	0.00163398692810458
mtarjeta_master_consumo_lag6	4.08861191953265e-05	0.000833500965510437	0.00163398692810458
ctarjeta_visa_debitos_automaticos	4.05948321959188e-05	0.00150958270670829	0.00490196078431373
Visa_mpagominimo_lag6	3.99276455887689e-05	0.000670417647760302	0.00163398692810458
mrentabilidad_lag3	3.97691889715746e-05	0.0017235965901232	0.00490196078431373
mpagomiscuentas	3.94704941679436e-05	0.000555599439939624	0.00163398692810458
Master_msaldopesos_lag1	3.80962340385928e-05	0.00372332699038164	0.00326797385620915
mpasivos_margen_lag6	3.7063842794506e-05	0.0012640738723653	0.00326797385620915
mcuentas_saldo_lag3	3.63914754406747e-05	0.000701514631339013	0.00163398692810458
tcallcenter_lag1	3.60280713080234e-05	0.00202185923589436	0.00163398692810458
Master_mfinanciacion_limite	3.54869651949348e-05	0.00083376010704026	0.00163398692810458
Master_cadelantosefectivo	3.48704764717496e-05	0.000473210943565315	0.00163398692810458
Visa_mconsumospesos_lag6	3.2020133087271e-05	0.0016687326262379	0.00326797385620915
matm_other	3.18249594224578e-05	0.000441132924195133	0.00163398692810458
mcaja_ahorro_dolares_lag1	3.14541138810545e-05	0.000886754549888979	0.00163398692810458
ccajas_transacciones_lag3	2.98559333042161e-05	0.000965496554736499	0.00163398692810458
Visa_madelantopesos	2.96816540212084e-05	0.000510555089023676	0.00163398692810458
Master_mpagosdolares_lag3	2.87564432488252e-05	0.000487158310902552	0.00163398692810458
Master_msaldototal_lag3	2.82553993489915e-05	0.000469407116109704	0.00163398692810458
Master_mconsumosdolares_lag1	2.64039736742014e-05	0.00139826290954022	0.00490196078431373
Master_Fvencimiento_lag6	2.45680388825599e-05	0.00046691750641248	0.00163398692810458
Visa_fultimo_cierre	2.42004911386158e-05	0.00147655141671055	0.00163398692810458
mcomisiones_otras_lag6	2.33054817131435e-05	0.00212483097378029	0.0065359477124183
mautoservicio_lag6	2.24807478311127e-05	0.000833325119472343	0.00326797385620915
cliente_antiguedad_lag6	2.10249597940077e-05	0.000654943196408039	0.00163398692810458
mcomisiones_lag3	2.05822469193012e-05	0.00213966682636263	0.00490196078431373
Visa_msaldopesos_lag3	1.92670737885815e-05	0.000591249910399502	0.00163398692810458
matm_lag6	1.88451616891785e-05	0.000708354116715401	0.00163398692810458
Master_mpagospesos_lag3	1.83200537284158e-05	0.00105302160643408	0.00326797385620915
numero_de_cliente_lag3	1.78543115999897e-05	0.000712768777777022	0.00163398692810458
Visa_msaldototal_lag6	1.75590239668867e-05	0.000705216653193621	0.00163398692810458
Visa_mconsumospesos_lag1	1.7251817151538e-05	0.000438939476246278	0.00163398692810458
Master_fechaalta_lag6	1.56863955121328e-05	0.00113449385239937	0.00326797385620915
matm_lag1	1.51510171822591e-05	0.00076959481324526	0.00163398692810458
mpasivos_margen_lag3	1.50291298760139e-05	0.00133245947107455	0.00326797385620915
matm_lag3	1.43591938260985e-05	0.00154207720353712	0.00326797385620915
Visa_mfinanciacion_limite_lag6	1.3080910832855e-05	0.00196915169973937	0.00163398692810458
foto_mes_lag6	1.04831404557537e-05	0.00044114217924977	0.00163398692810458
mtransferencias_emitidas_lag3	9.8784788832573e-06	0.000397976604425036	0.00163398692810458
Master_mlimitecompra_lag1	9.79816381995079e-06	0.000421354872436888	0.00163398692810458
mttarjeta_visa_debitos_automaticos_lag3	9.78142941516886e-06	0.000492470712263915	0.00163398692810458
mpagomiscuentas_lag3	9.73939838396231e-06	0.00136735102705424	0.00163398692810458
Master_cconsumos	9.63584863935357e-06	0.000408916079005404	0.00163398692810458
cliente_antiguedad_lag3	9.31754544770317e-06	0.00173736811142234	0.00163398692810458
mextraccion_autoservicio_lag6	9.11532691784824e-06	0.000720339412469696	0.00163398692810458
Master_mconsumototal_lag1	8.31298861392059e-06	0.00114932970498171	0.00326797385620915
numero_de_cliente_lag1	8.21367129379613e-06	0.00115602110948392	0.00163398692810458
mrentabilidad_lag6	7.71553186607697e-06	0.000396375479972918	0.00163398692810458
mpayroll_lag6	6.51900658557665e-06	0.000437893655072351	0.00163398692810458
numero_de_cliente_lag6	6.06594344754848e-06	0.00129643879842921	0.00163398692810458
Master_mlimitecompra_lag3	5.36521517251881e-06	0.000461780951089211	0.00163398692810458
Visa_Fvencimiento_lag1	5.28330076988695e-06	0.000812131044354711	0.00326797385620915
mautoservicio_lag1	4.50182659855317e-06	0.000890521357126043	0.00163398692810458
mcuenta_corriente_lag6	4.27879989800166e-06	0.000540439660445002	0.00163398692810458
Master_mpagosdolares	4.17418905145294e-06	0.000417588065199824	0.00163398692810458
Visa_mconsumototal_lag6	3.02163869489744e-06	0.00038293714064069	0.00163398692810458
mrentabilidad_annual_lag3	2.81105474302393e-06	0.000838258063593609	0.00326797385620915
Visa_mconsumosdolares_lag3	2.37286250770007e-06	0.000606650321314673	0.00163398692810458
chomebanking_transacciones_lag1	2.31806072844197e-06	0.000986644354580949	0.00163398692810458
mcuenta_debitos_automaticos_lag1	2.2572623810961e-06	0.000453229280605066	0.00163398692810458
Visa_mpagospesos_lag3	2.13547395399393e-06	0.000548056570410859	0.00163398692810458
mtransferencias_recibidas_lag6	2.04344869676897e-06	0.00140065996869108	0.00163398692810458
Master_msaldototal_lag6	1.56406056183768e-06	0.000685234990233372	0.00163398692810458
mcomisiones_lag6	1.18758232451171e-06	0.00159903280977026	0.00490196078431373
Visa_mpagospesos_lag6	6.14569413280973e-07	0.000524817128218555	0.00163398692810458
mextraccion_autoservicio_lag3	5.80210143622423e-07	0.000894880487859844	0.00163398692810458
Master_madelantodolares_lag6	4.44775239243574e-08	0.000371932880677866	0.00163398692810458
