fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231114 193612	154	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0824230342335068	0.795125231102284	428	36006	8820	74505117.4412794	1
20231114 193915	154	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	497	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.249372339627589	0.748546570266626	95	13320	9739	73407929.5352324	2
20231114 200028	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	586	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0794969942747557	0.243677590981519	861	34991	10858	79381826.0869565	1
20231114 200503	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.14827783256869	0.874253764535628	707	23270	11844	76353509.2453773	2
20231114 200849	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	210	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.17377500549662	0.119187151399599	486	10653	8968	74417003.4982509	3
20231114 201418	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.191527074140061	0.425321617265004	618	18490	11883	74038370.3148426	4
20231114 202130	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	838	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.106286212468993	0.195560159113145	351	44565	11448	76960511.7441279	5
20231114 202614	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	364	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.216838681937066	0.786439333610034	392	25467	10288	75031576.2118941	6
20231114 203112	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.234387582123772	0.348430802924525	520	33928	10958	74128082.9585207	7
20231114 203655	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	626	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.134312065081766	0.885035211608588	50	37954	11003	78924027.4862569	8
