Feature	Gain	Cover	Frequency
Visa_status	0.0832143027624888	0.00725027161734265	0.00369952628017144
saldo_pos	0.0617603109657211	0.00768704586970556	0.010015790660952
recibe_sueldo	0.0511667241055394	0.00950282269679761	0.00356417775772615
usa_tarjeta_debito	0.0473798750213912	0.00597057700019359	0.00766974960523348
disminuye_saldo_ahorro	0.046297646443714	0.00982962469951934	0.00446650124069479
mcaja_ahorro	0.0390965871171931	0.00848248609310734	0.00360929393187458
usa_tarjeta_visa	0.0355630336552331	0.0040012637868856	0.00613579968418678
deudas	0.0283481860918767	0.00925154752288574	0.00527859237536657
tiempo_sin_disminuir	0.0277556987387878	0.00897586223417366	0.0164674035641778
mtarjeta_visa_consumo	0.0265548683832589	0.00281511146597745	0.00230092488157004
ctrx_quarter	0.0259217641890887	0.00839136035803032	0.00360929393187458
mcaja_ahorro_lag1	0.0230374867431851	0.00284377329963136	0.00225580870742161
cdescubierto_preacordado	0.0207607819554624	0.020287931348831	0.00604556733588992
disminuye_saldo_corriente	0.0197203613956858	0.00819019291068894	0.00983532596435822
ctrx_quarter_lag1	0.0167628562429778	0.0017910524828921	0.00148883374689826
activos	0.0142701554374476	0.00976793266360162	0.00401533949921047
cajaahorro_saldo_pos	0.0141828245127564	0.00725099062798676	0.00703812316715543
tiene_debito_automatico	0.0140400608626194	0.00439719889370146	0.00699300699300699
aumento_saldo_ahorro	0.0134262384164049	0.0062559098168772	0.0095195127453192
mpayroll	0.0128212764014388	0.00329801496328267	0.00117302052785924
tiene_master	0.0124745503425779	0.00187007616823507	0.00216557635912475
mpasivos_margen	0.011065931062786	0.00246966448256413	0.00212046018497631
tiempo_sin_aumento	0.0102061447641952	0.00766914850191468	0.00803067899842093
disminuyo_tarjetas	0.0100493978814855	0.00517731344806161	0.00157906609519513
Visa_mpagospesos	0.00802707526264701	0.0065353562364288	0.0095195127453192
aumento_saldo_corriente	0.00738871641823729	0.0073966501899879	0.0104218362282878
Visa_Finiciomora	0.00733976612772483	0.00908088787511408	0.00234604105571848
Visa_msaldopesos	0.00708394650820035	0.00552510963893779	0.00618091585833521
Visa_mpagominimo	0.00707546505364897	0.00641708827791159	0.00739905256034288
mprestamos_personales	0.00677675311651454	0.0164349417919845	0.00478231445973382
balance	0.00665468899209571	0.00715531028011284	0.00446650124069479
mcuenta_corriente	0.00638713892445055	0.00953013508389344	0.00604556733588992
mcuentas_saldo	0.00522363420487584	0.00774291952123048	0.00360929393187458
Visa_delinquency_lag1	0.00519723147176058	0.0041366846636762	0.00261673810060907
tiene_visa	0.00469201878818586	0.00417435541731434	0.00342882923528085
Visa_mpagospesos_lag1	0.00436714294082239	0.00320979295038523	0.00554928942025716
tiempo_sin_disminuir_cc	0.00434409358577075	0.00969228562622944	0.00351906158357771
Visa_delinquency	0.00418178321816636	0.00434095538995522	0.00306789984209339
Master_delinquency	0.00394424950581696	0.00250214570603184	0.00162418226934356
tiempo_sin_aumento_cc	0.00389400750667343	0.00579399352192183	0.00315813219039026
internet	0.00381372295438377	0.00474284780641025	0.00117302052785924
foto_mes_lag1	0.00369557070384585	0.00483470942350855	0.00437626889239793
