fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231116 061034	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	851	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0824230342335068	0.795125231102284	428	36006	10204	83461255.3723138	1
20231116 061412	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.249372339627589	0.748546570266626	95	13320	10267	73512289.3553223	2
20231116 061936	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	256	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.186392216309905	0.43607747286791	921	28408	12530	75406301.8490755	3
20231116 062505	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1376	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.136608599534957	0.0498763482373033	362	38627	10485	79519982.5087456	4
20231116 063005	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.279313017464592	0.325927239398443	859	25064	11435	72426964.017991	5
20231116 063407	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	198	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.118417353341356	0.851146140006458	792	12567	11363	75234072.4637681	6
20231116 063821	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.175073904315941	0.467781495568634	483	31430	11009	76996190.4047976	7
20231116 064632	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.224837255390594	0.593637623012037	599	1767	10131	67258732.133933	8
20231116 065616	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1599	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0541985414916417	0.941278693547501	528	45206	12271	81999171.914043	9
20231116 070128	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.10383131707611	0.665384838370373	256	5461	10931	75807337.8310845	10
20231116 071936	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1148	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0308388378669042	0.510460672184563	729	23021	10680	80735152.4237881	11
20231116 072357	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.297243528414983	0.314127360409329	693	41028	10488	73413425.2873563	12
20231116 072756	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.206720984926214	0.124359655007138	165	18490	11946	74255881.0594703	13
20231116 073907	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1009	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.143174876609701	0.200390524921531	970	8248	10002	73984360.8195902	14
20231116 074857	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1297	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0579550576413749	0.175193142998614	69	49836	10754	80998381.8090955	15
20231116 075204	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.235800747309695	0.882107907984027	273	18999	11027	72221854.5727136	16
20231116 080330	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1613	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0350333109800428	0.648873818469362	369	35085	10390	81539645.1774113	17
20231116 081616	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1016	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0826818258862348	0.532239304166908	496	49921	10521	80929651.6741629	18
20231116 082025	673	1734329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	798	1	1	1	FALSE	1	0.1	50	0.5	TRUE	100005	0.0773992400341021	0.898364909290483	9	38029	9845	76568438.2808596	19
