Feature	Gain	Cover	Frequency
ctrx_quarter	0.0790795928421768	0.0116995836436371	0.00399962794158683
cajaahorro_saldo_pos	0.0639409330323632	0.00441307763618004	0.00716212445353921
mtarjeta_visa_consumo	0.0617931478994691	0.00148683902108515	0.00167426285926891
disminuye_saldo_corriente	0.0590194791970352	0.00781631022634849	0.0122469227668744
recibe_sueldo	0.0508443239490142	0.00973866210747611	0.00461972529687161
disminuye_saldo_ahorro	0.0443881570259975	0.0067913971956987	0.00527082751992063
cdescubierto_preacordado	0.0366696849765871	0.00862351868301663	0.0054878615942703
usa_tarjeta_visa	0.0326226583462567	0.00521265493682349	0.00741016339565312
Visa_status	0.0319784138977784	0.00448440827338826	0.00257340402443184
deudas	0.0279191999966444	0.00996337910466872	0.00703810498248225
mcaja_ahorro_lag1	0.0260255713371164	0.00202483445892724	0.00164325799150467
mcaja_ahorro	0.0257832773609332	0.0105404978890795	0.00536384212321334
activos	0.0236193397673116	0.00823195257764896	0.00427867175146498
usa_tarjeta_debito	0.0144608115017245	0.00466415015577615	0.00883638731280811
aumento_saldo_ahorro	0.0114147106050522	0.00689836735622855	0.0115338108082969
Visa_delinquency	0.0107178162162741	0.002958986235048	0.00288345270207423
disminuyo_tarjetas	0.0101990969854179	0.00526791683862257	0.00161225312374043
tiene_master	0.00963390173798122	0.000615773125843239	0.0011161752395126
aumento_saldo_corriente	0.00940460357584411	0.00819256313703408	0.0124329519734598
mprestamos_personales	0.00920553362462955	0.0114735720152853	0.00387560847052987
tiempo_sin_disminuir	0.00900147200081635	0.00711677614584687	0.0169286577992745
ctrx_quarter_lag3	0.00766352912395684	0.00454330363762036	0.00350355005735901
mpasivos_margen	0.0069580465751417	0.0022730864878237	0.00176727746256162
Visa_Finiciomora	0.0056037780442887	0.0090666680085759	0.00235636995008216
tiempo_sin_disminuir_cc	0.00548291383635147	0.00821257098463862	0.00375158899947292
saldo_pos	0.0053199190419113	0.00535896577913235	0.0101075868911419
mcuentas_saldo	0.00490585664718568	0.00532066841255268	0.00328651598300933
Master_status	0.00482281098121562	0.00216852002286298	0.00114718010727684
Visa_delinquency_lag1	0.00478116565430869	0.00303470454804327	0.00167426285926891
Visa_msaldototal	0.0045872571161345	0.0048190190144488	0.00561188106532726
foto_mes	0.00444728885334491	0.00339332569733446	0.0038135987350014
internet	0.0040693988018457	0.00383329870773127	0.00192230180138282
mcuenta_corriente	0.0040539738221481	0.01024938118	0.00626298328837628
Visa_mpagospesos	0.00373471670674956	0.0054181830755693	0.00778222180882399
ccaja_ahorro	0.00361296093549706	0.0126512372755786	0.00263541375996031
recibe_transferencias	0.00358633128920022	0.00490532224242034	0.0124639568412241
tiempo_sin_aumento	0.00350518676603306	0.00438833876563208	0.00496077884227824
thomebanking	0.0034637172985553	0.0034455213674408	0.0067590611726041
Master_delinquency	0.00341248530996847	0.00188715534643094	0.00155024338821195
foto_mes_lag2	0.00328340623935781	0.00182358462043104	0.0023873748178464
ccaja_seguridad	0.0032024666354309	0.00506462337661375	0.00102316063621989
ctrx_quarter_lag1	0.00312608722033955	0.00215071490655124	0.0018292871980901
Visa_mpagominimo	0.0029592661390956	0.00666538312585664	0.0080302607509379
Visa_msaldopesos	0.00292026936641596	0.00347265623479432	0.00514680804886367
foto_mes_lag1	0.00284985065263089	0.00243406727984569	0.00353455492512324
