fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231118 060609	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	794	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.135221395906073	0.584692130600967	255	40155	5763	75735301.8490755	1
20231118 060719	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.239734886632617	0.149583411327674	501	17022	4139	73535545.7271364	2
20231118 060952	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.100895634504569	0.287079455508799	403	13865	5608	75155414.2928536	3
20231118 061138	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1176	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.193926023550241	0.0216919327176693	332	31580	4954	72801000.4997501	4
20231118 061502	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1430	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.08007003838652	0.828669041011607	975	29986	5080	75327976.011994	5
20231118 061708	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.208850022133744	0.380397721125244	550	43048	5082	75469298.3508246	6
20231118 061901	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.162583421253332	0.702395269963621	842	3989	5631	75097262.8685657	7
20231118 062117	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.114484653734324	0.561274444305183	90	8728	4615	76428053.4732634	8
20231118 062223	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295460577602102	0.991685206458327	693	22814	4668	75260291.854073	9
20231118 062352	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	423	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.14512984974473	0.789199019273573	263	35227	4209	75435130.9345327	10
20231118 064137	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6057	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0200188149544209	0.426841415468199	903	45472	5148	74994284.8575712	11
20231118 064338	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.221162577699129	0.221953478119557	591	21609	5212	74156859.5702149	12
20231118 065051	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	906	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0401773294380131	0.452798209184874	769	3106	4647	76428641.1794103	13
20231118 065207	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	420	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272175826230103	0.91182047783104	17	10106	5310	72554737.6311844	14
20231118 065350	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.264888431934941	0.62945319692852	827	47558	4662	72436944.5277361	15
20231118 065813	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2456	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0712469580709858	0.0734496149895177	184	25205	4504	75229101.4492754	16
20231118 070151	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0655589885752973	0.520590648025338	706	5699	4901	74311590.7046477	17
20231118 070337	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.1209655498278	0.632050215680874	174	18133	4892	75949783.1084458	18
20231118 071306	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0344170561475817	0.337546705369102	799	732	4715	76139727.6361819	19
20231118 071641	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	827	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.037702255456461	0.647224118968298	904	9716	4664	76490710.6446777	20
20231118 072416	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1932	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0391314901029266	0.585355800112782	695	20254	4926	78698869.5652174	21
