Feature	Gain	Cover	Frequency
Visa_status	0.0727873730687933	0.00904637603120556	0.00486680327868853
Visa_delinquency_lag1	0.0720999716831233	0.00920348327318767	0.00435450819672131
mcaja_ahorro_lag1	0.0697906499823654	0.0107360471366056	0.0037568306010929
internet	0.0619668935812989	0.00393061419636872	0.00674521857923497
Visa_Finiciomora_lag1	0.0415631543835463	0.00356449247552484	0.00119535519125683
mcaja_ahorro	0.0363182326627695	0.0101261936681626	0.00332991803278689
cdescubierto_preacordado	0.0362550768849916	0.00848858941548573	0.00589139344262295
mcuenta_corriente	0.0299720171953162	0.011988007992561	0.00674521857923497
mtarjeta_visa_consumo_lag1	0.0281200948248017	0.00117204926615086	0.00179303278688525
ctarjeta_visa	0.0263099983566959	0.00235141453271912	0.000512295081967213
mcuentas_saldo	0.0254861907550549	0.0200005143579421	0.00836748633879781
Visa_mpagospesos	0.0221217634248785	0.00643156820545599	0.00759904371584699
ctrx_quarter	0.0200798087523992	0.00973646937152311	0.0037568306010929
mpayroll	0.0186661080489197	0.0206997576353539	0.00537909836065574
mprestamos_personales	0.0179463624094029	0.0208432086723283	0.0076844262295082
mautoservicio	0.0155499924442877	0.00463732074861029	0.00290300546448087
ctarjeta_visa_transacciones	0.0135378235558494	0.00720431540159142	0.00247609289617486
Visa_delinquency	0.0119090101625278	0.00491117875253919	0.0038422131147541
mprestamos_personales_lag1	0.0109399267475407	0.00854661964776647	0.00572062841530055
Visa_status_lag3	0.0103857667610828	0.00187506984427299	0.000597677595628415
Visa_msaldopesos_lag1	0.00957253200097806	0.0043035319319953	0.00486680327868853
Visa_msaldopesos	0.00859110102164343	0.0060501562741131	0.00725751366120219
mtarjeta_visa_consumo	0.00831025389964036	0.00693351395879057	0.0037568306010929
Visa_msaldototal	0.00724727168704555	0.00684133827741818	0.00683060109289618
mpayroll_lag1	0.00677222173946774	0.010219046482727	0.00341530054644809
Visa_mconsumospesos	0.00592921514723728	0.00301684557968176	0.00520833333333333
Visa_mpagominimo	0.00561897777454388	0.00777085620584491	0.00717213114754098
Master_status	0.00554460876375716	0.00433378571644746	0.00435450819672131
mcuenta_corriente_lag1	0.00487905694621176	0.0035242413090358	0.00418374316939891
cextraccion_autoservicio	0.00417844064196825	0.000642870087960638	8.53825136612022e-05
Master_delinquency	0.00415689299321195	0.00274412051913733	0.00256147540983607
Visa_fechaalta	0.00367724211582284	0.00780083601052435	0.00887978142076503
mactivos_margen	0.00328767683360124	0.00961818004448629	0.00452527322404372
Visa_msaldototal_lag1	0.00309476533713038	0.00474828831589514	0.00478142076502732
mrentabilidad	0.00306303780498656	0.00431931909079077	0.0040129781420765
ccaja_seguridad	0.00305562389371726	0.0109287914953309	0.00145150273224044
Visa_mpagominimo_lag1	0.00302208298413115	0.00743262118294836	0.0076844262295082
cdescubierto_preacordado_lag1	0.00287512656397552	0.00823799747766158	0.00315915300546448
tmobile_app_lag6	0.00269733617113937	0.00513642385895768	0.0176741803278689
mprestamos_personales_lag3	0.0026454380547635	0.0089969782186706	0.00350068306010929
ccaja_ahorro	0.0025805045171587	0.00959142958097175	0.00128073770491803
Master_msaldototal	0.00249705383618619	0.00614454024890883	0.00469603825136612
Visa_fechaalta_lag1	0.0024004134877214	0.00431191423206869	0.00648907103825137
thomebanking	0.0023806795241726	0.00368925282632268	0.0077698087431694
Visa_mconsumospesos_lag1	0.00236795387062936	0.00483250459690338	0.00853825136612022
Visa_Finiciomora	0.00232734197861762	0.00568774850129938	0.00187841530054645
mextraccion_autoservicio	0.00230817087049131	0.00107392172389008	0.00119535519125683
ctrx_quarter_lag1	0.00229220099121234	0.00426254521620654	0.00315915300546448
Master_fechaalta_lag1	0.00225688711744531	0.0037394429587409	0.00870901639344262
Visa_mpagospesos_lag3	0.00223937192355328	0.00423178625583712	0.00819672131147541
Master_mpagominimo	0.00223045770241322	0.00273342296657018	0.00418374316939891
cmobile_app_trx	0.0022077691644007	0.00380993474548882	0.0109289617486339
Master_Fvencimiento	0.00206948602786548	0.00324240251292865	0.00811133879781421
cliente_edad_lag1	0.00204594595514803	0.00901591737899543	0.00495218579234973
cliente_edad	0.00202818828814757	0.0061143975373375	0.0039275956284153
Master_fechaalta	0.00200988026804992	0.004231374874797	0.00717213114754098
Visa_mconsumototal	0.00199266640501982	0.00258009631634673	0.00657445355191257
Visa_mpagominimo_lag3	0.00198090255528757	0.00340759586063527	0.00606215846994536
Master_fechaalta_lag6	0.00196185233797568	0.00368194505352607	0.00836748633879781
tcallcenter	0.00193041851230201	0.00321864114405159	0.00230532786885246
Visa_mpagospesos_lag6	0.0019038782034697	0.00423065660350096	0.00742827868852459
Master_Fvencimiento_lag6	0.0018969400329666	0.0031475199443123	0.0077698087431694
Master_Finiciomora	0.00187212983851335	0.00100893750650723	0.000426912568306011
Master_Fvencimiento_lag1	0.00184829823938424	0.00311375707958796	0.00759904371584699
mrentabilidad_annual_lag1	0.00183071928023961	0.00618512957061285	0.00290300546448087
Master_mfinanciacion_limite_lag1	0.00182340417459709	0.00383179635672263	0.00631830601092896
Visa_mconsumototal_lag6	0.00180886019867509	0.00355687040761358	0.00913592896174863
Visa_mlimitecompra_lag1	0.00180394494237994	0.0021203780040179	0.00332991803278689
Visa_fechaalta_lag6	0.00179484902653922	0.0027862434693589	0.00546448087431694
cproductos	0.0017884664472075	0.00488599894183582	0.00102459016393443
Master_fechaalta_lag3	0.00178329176959955	0.00382201042454036	0.0079405737704918
Visa_mpagominimo_lag6	0.00177009649364107	0.0032638963495126	0.00742827868852459
Visa_mpagospesos_lag1	0.00176677502938482	0.00345860217303708	0.00640368852459016
ccajas_transacciones_lag1	0.00175309855623537	0.00385048128356466	0.00512295081967213
Visa_Fvencimiento_lag1	0.00172669040070973	0.00390180600489152	0.00623292349726776
Visa_mconsumosdolares_lag1	0.00171523516954264	0.0034195719854751	0.00717213114754098
Visa_cconsumos	0.00171476836418647	0.00380984917823247	0.00512295081967213
Visa_Fvencimiento	0.00169268047067119	0.00282794516539539	0.00546448087431694
Visa_mconsumospesos_lag3	0.0016904831617368	0.00278963736293985	0.00742827868852459
Master_mlimitecompra	0.0016744017915127	0.00296421513493357	0.00503756830601093
mcuentas_saldo_lag1	0.00167232674054209	0.00370430443581842	0.00307377049180328
mrentabilidad_annual	0.00167177919292605	0.00782637865930511	0.00324453551912568
Master_Fvencimiento_lag3	0.00165752605605615	0.00379314628524171	0.00657445355191257
cmobile_app_trx_lag3	0.00165157005494701	0.00427806497732593	0.00503756830601093
ccajas_transacciones	0.00165100186748525	0.00492167884220709	0.00589139344262295
Visa_fechaalta_lag3	0.00164258002365573	0.0043503314618809	0.00580601092896175
Visa_cconsumos_lag6	0.00163431116505215	0.00237806708754611	0.00580601092896175
mrentabilidad_lag1	0.00162751080145306	0.00413384136675815	0.00341530054644809
Visa_mconsumosdolares	0.00162272183602787	0.00264998419572775	0.00606215846994536
mcuenta_debitos_automaticos	0.00161418256107653	0.00782802912003805	0.00221994535519126
Visa_mlimitecompra	0.00159738202804123	0.00469815824510877	0.00418374316939891
thomebanking_lag1	0.00158669858306936	0.00252983213534128	0.00623292349726776
cmobile_app_trx_lag6	0.00157811102577723	0.00436731738502726	0.00836748633879781
Visa_mconsumosdolares_lag6	0.00157089507004084	0.00350686292837717	0.00742827868852459
Master_mfinanciacion_limite	0.00155944779624703	0.00227524980142802	0.00597677595628415
Visa_cconsumos_lag3	0.00153749124778618	0.00312581548063582	0.00478142076502732
ctrx_quarter_lag3	0.00152665960502602	0.00302748060233082	0.00367144808743169
Visa_status_lag1	0.00152253700213145	0.00120875515083618	0.00076844262295082
Visa_mconsumosdolares_lag3	0.00152143459144937	0.00229860308031328	0.00623292349726776
mplazo_fijo_dolares	0.00151707687167157	0.00970510897207305	0.00153688524590164
Visa_Fvencimiento_lag6	0.00151608948713835	0.00339210900999909	0.00529371584699454
Visa_msaldopesos_lag3	0.00149286179915946	0.00217423847807603	0.00452527322404372
Visa_mconsumototal_lag1	0.00147084226110294	0.00331980632391258	0.00554986338797814
tmobile_app	0.00147043889358336	0.00270974305113906	0.00606215846994536
Master_msaldopesos	0.00143855538338128	0.00440351809379532	0.00435450819672131
Visa_Fvencimiento_lag3	0.00141878588380239	0.00388315645681894	0.00520833333333333
Visa_msaldopesos_lag6	0.00140774566162935	0.0022325920558543	0.00529371584699454
ctarjeta_debito_transacciones	0.00139666188594769	0.00311288001521044	0.00076844262295082
Master_mlimitecompra_lag3	0.00138482301893783	0.00366166314548631	0.00503756830601093
Visa_mconsumototal_lag3	0.00137018516047562	0.00259287134316647	0.00640368852459016
Visa_mconsumospesos_lag6	0.00134190003401247	0.00200552699971435	0.00580601092896175
foto_mes_lag3	0.00133882478106073	0.0020383239417565	0.00298838797814208
Master_mfinanciacion_limite_lag3	0.00133690251694607	0.00340265599710556	0.00572062841530055
Master_mfinanciacion_limite_lag6	0.00133468796487674	0.00329903487243508	0.00546448087431694
mpagomiscuentas	0.00130733341346937	0.00673456844226666	0.00221994535519126
Master_msaldototal_lag6	0.00128836297813974	0.00207314323299186	0.00512295081967213
thomebanking_lag3	0.00124944604651014	0.00291048794833244	0.00435450819672131
Master_msaldopesos_lag6	0.00124360037521405	0.00236350584425019	0.00495218579234973
mcomisiones_lag1	0.00122897831683575	0.00346065249614102	0.00264685792349727
Visa_cconsumos_lag1	0.00122219535669926	0.00267365588353807	0.00426912568306011
mactivos_margen_lag1	0.00121898259744824	0.00255882956209693	0.00204918032786885
Visa_mfinanciacion_limite_lag1	0.00117527677710433	0.00247482308541915	0.00350068306010929
Master_mpagominimo_lag6	0.00117256844508013	0.00252054315145548	0.00512295081967213
matm	0.00116488719882182	0.00133058811415256	0.00179303278688525
Visa_mfinanciacion_limite_lag3	0.00114628713566343	0.00238672994948886	0.00324453551912568
Master_cconsumos_lag6	0.00113911817291358	0.00216235943916166	0.00452527322404372
Master_msaldototal_lag1	0.00113869468784291	0.00366818682602046	0.0040129781420765
Master_mlimitecompra_lag6	0.00113571251203411	0.0024156985795717	0.00503756830601093
mcuenta_corriente_lag3	0.00113041597731033	0.00420740781539989	0.00332991803278689
cmobile_app_trx_lag1	0.00112449664858753	0.00239175538027491	0.00469603825136612
mcuentas_saldo_lag3	0.00111934206320894	0.00415211655808423	0.00332991803278689
mautoservicio_lag6	0.00111606677734578	0.00251402029368341	0.00435450819672131
