Feature	Gain	Cover	Frequency
mcaja_ahorro	0.143984737846183	0.00855318067262436	0.00461065573770492
cdescubierto_preacordado	0.139635188669621	0.0106964537073127	0.00883709016393443
ctarjeta_visa	0.037217161527364	0.00242813513090122	0.00115266393442623
ctrx_quarter	0.0352748062849701	0.00510528472785142	0.00268954918032787
internet	0.0349318978820266	0.00699734952759709	0.00922131147540984
Visa_status	0.0310172461583455	0.0106231239686224	0.00601946721311475
Visa_mpagospesos	0.0245870084561902	0.00574077859385693	0.00806864754098361
mcuentas_saldo	0.0235318178803264	0.0155691874814417	0.00858094262295082
mcuenta_corriente	0.0221092283812539	0.010728040965963	0.00883709016393443
mtarjeta_visa_consumo	0.0219530072261873	0.00644059267899459	0.0038422131147541
mprestamos_personales	0.0215722256660847	0.0202953545914895	0.00922131147540984
Master_status	0.0210972328808079	0.00464260560912992	0.00358606557377049
Visa_delinquency_lag1	0.0202473464347475	0.00484295999091862	0.00294569672131148
mpayroll	0.0190501024001134	0.0134936350076708	0.00537909836065574
Visa_Finiciomora_lag1	0.0178953007968706	0.00333822497791765	0.00115266393442623
mcuenta_corriente_lag1	0.0164967195357718	0.00749871491700151	0.00691598360655738
cpayroll_trx	0.0162127160534483	0.00493910070731696	0.00140881147540984
ctarjeta_visa_transacciones	0.014344535697673	0.00622202760465324	0.00268954918032787
mautoservicio	0.0102737207547196	0.00360880226360355	0.00217725409836066
Visa_delinquency	0.0101682883238293	0.00374268725596479	0.0038422131147541
mpayroll_lag1	0.0097307067855033	0.00843480695224576	0.00358606557377049
mpasivos_margen	0.00919112011945679	0.0028559393510507	0.00192110655737705
mprestamos_personales_lag1	0.00610677418506438	0.0108049000207636	0.00627561475409836
ctrx_quarter_lag1	0.00568458299859949	0.00672014332321293	0.00422643442622951
Visa_Finiciomora	0.00544143516612835	0.00804934367711197	0.00281762295081967
Visa_mpagominimo	0.00532963868102162	0.00695290461356825	0.00896516393442623
cdescubierto_preacordado_lag1	0.00486540322598471	0.0113171625352688	0.00601946721311475
Visa_msaldopesos	0.00459872031823139	0.00370357428517838	0.00550717213114754
Visa_msaldototal	0.00445306350529354	0.00582636209879628	0.00755635245901639
ccaja_ahorro	0.00441426968831125	0.0129434980375101	0.00358606557377049
mautoservicio_lag1	0.00410630592519481	0.00379294384951063	0.00204918032786885
thomebanking	0.00364190703744169	0.00474102567551615	0.00922131147540984
Visa_mpagominimo_lag1	0.00362775946385435	0.00799582535904619	0.00730020491803279
mextraccion_autoservicio	0.00339274551811192	0.00114274747576468	0.00115266393442623
mactivos_margen	0.00328421944700145	0.00772801861061421	0.00486680327868853
Master_fechaalta	0.00327805962954832	0.00631850160517196	0.00870901639344262
Visa_fechaalta	0.00308398005639163	0.00873186917585284	0.00870901639344262
Visa_mpagospesos_lag1	0.00300091618363703	0.00391165989426604	0.00678790983606557
mrentabilidad	0.00294320158709262	0.00428937205353672	0.00358606557377049
ccaja_seguridad	0.00289018230199631	0.00329637401480046	0.000896516393442623
Master_delinquency	0.00284831544752981	0.00281532328696185	0.00256147540983607
tmobile_app_lag6	0.00270960734464193	0.00591336251326009	0.0171618852459016
mprestamos_personales_lag3	0.00266043153292685	0.00528036315534551	0.00281762295081967
mtarjeta_visa_consumo_lag1	0.00265259995573252	0.000934918007275874	0.00102459016393443
Visa_fechaalta_lag1	0.00261398013229745	0.00625613167069365	0.0079405737704918
Visa_msaldopesos_lag1	0.00261046041330099	0.00479495803732643	0.00537909836065574
Visa_Fvencimiento	0.00243968347100965	0.00583978507154359	0.0078125
mrentabilidad_annual_lag1	0.00236846005718644	0.00488416969851304	0.00435450819672131
Master_msaldototal	0.0022247757469092	0.00479520332961757	0.00550717213114754
Visa_mconsumototal	0.00221620867155078	0.00444852215188486	0.00640368852459016
mcuenta_debitos_automaticos	0.00218773278021465	0.00508036315160887	0.00307377049180328
tcallcenter	0.00214094895894569	0.00377171853278044	0.00256147540983607
Master_fechaalta_lag6	0.00208801615192207	0.00460964664223731	0.00896516393442623
Master_fechaalta_lag3	0.00208264832740021	0.00412767139750779	0.0078125
Visa_mpagospesos_lag6	0.00204690019919235	0.00580446599503898	0.00896516393442623
Visa_mconsumosdolares_lag6	0.00202410039108508	0.00471086798274933	0.00909323770491803
Visa_mfinanciacion_limite	0.00201446471232422	0.00707790243117501	0.00614754098360656
cmobile_app_trx_lag3	0.00196298232787546	0.00760635785299766	0.00704405737704918
Visa_mpagospesos_lag3	0.00194798307322807	0.00431612759646704	0.00665983606557377
Master_fechaalta_lag1	0.001932216591091	0.00480224810011161	0.00870901639344262
internet_lag1	0.00187317018871322	0.00294611470357274	0.00512295081967213
Master_mlimitecompra_lag3	0.00185817011703263	0.00480501743199801	0.00704405737704918
Visa_mconsumosdolares_lag1	0.00185321944405208	0.00407732018261132	0.00870901639344262
cmobile_app_trx	0.00183967167991611	0.00420226556673079	0.00973360655737705
mcaja_ahorro_lag1	0.00180073143274148	0.00328325238393415	0.00281762295081967
