fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 213350	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	4460	76564187.906047	1
20231117 213647	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	5105	75484470.2648676	2
20231117 214148	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	4145	72196534.2328836	3
20231117 214450	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	4705	74457523.7381309	4
20231117 214851	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	5136	74090798.6006996	5
20231117 215343	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	701	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	5334	74517592.2038981	6
20231117 215854	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	394	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	4224	75397577.2113943	7
20231117 220307	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	4554	73313844.077961	8
20231117 221431	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	5206	74602277.8610695	9
20231117 222416	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	4387	75163463.7681159	10
