Feature	Gain	Cover	Frequency
Visa_status	0.221949661382393	0.0111654206537587	0.008125
ctrx_quarter	0.0672776491170276	0.00777272392257275	0.00375
mcaja_ahorro	0.0555105344608596	0.00772666717352574	0.00354166666666667
mcaja_ahorro_lag1	0.0526058003292711	0.00740043463618328	0.00520833333333333
mcuenta_corriente	0.048877049090823	0.014400012315097	0.00916666666666667
mtarjeta_visa_consumo	0.0444658698384103	0.00776201534179694	0.00375
cdescubierto_preacordado	0.037069446405773	0.0148547260563411	0.01125
Visa_delinquency_lag1	0.0326226241843497	0.0061732791631733	0.00333333333333333
mcuentas_saldo	0.0270674802682909	0.0180407900220414	0.01
mpayroll	0.0262538753847956	0.0215428602199294	0.00916666666666667
mprestamos_personales	0.0248038970383101	0.0257663276854425	0.0125
ctarjeta_visa_transacciones	0.0226336664605486	0.00513751952444453	0.00208333333333333
mextraccion_autoservicio	0.0151153216559059	0.000874203033378712	0.00125
Visa_delinquency	0.0149019370124548	0.00642343930817739	0.00479166666666667
Visa_Finiciomora	0.0102235669493705	0.00984049267655362	0.00354166666666667
internet	0.00975789882670392	0.00353546864381434	0.00708333333333333
Master_status	0.00736834198057979	0.00403035560063683	0.00375
mcuentas_saldo_lag1	0.0066885942222505	0.00229536389854401	0.0025
mpasivos_margen	0.00640239423854128	0.00449476869505046	0.00729166666666667
mautoservicio	0.00617206174060393	0.0057834687232787	0.00270833333333333
mprestamos_personales_lag1	0.00612200537661741	0.0116969193180688	0.00604166666666667
Visa_msaldototal	0.00596425298793661	0.00498843106128145	0.005625
Visa_mpagospesos	0.00516205359945824	0.00599867935064381	0.00729166666666667
cpayroll_trx_lag1	0.00481084104264624	0.000895080641919483	0.000208333333333333
Visa_msaldopesos	0.00476059216146494	0.00748855590021614	0.00854166666666667
mpayroll_lag1	0.00454721020468766	0.0109851836005362	0.004375
mactivos_margen	0.00428176173383386	0.0115019276092631	0.01125
Visa_mpagominimo	0.00405549792159225	0.0069247367504536	0.00958333333333333
mrentabilidad	0.00383751541134713	0.00908815416301994	0.00979166666666667
mrentabilidad_annual_lag1	0.00372997398047673	0.00976419232020429	0.0125
ccaja_ahorro	0.00359404650048165	0.0150641974892596	0.00354166666666667
Visa_msaldototal_lag1	0.0034371659955225	0.00409901629874976	0.005
thomebanking	0.00342390253794105	0.00364543435872588	0.00833333333333333
mrentabilidad_annual	0.00327278708871134	0.00772284448053806	0.00875
Master_delinquency	0.00307315002833188	0.00225497188333701	0.001875
ccaja_seguridad	0.00307272953261099	0.0107409677030338	0.0025
cdescubierto_preacordado_lag1	0.00295990358872801	0.00992013459581727	0.00645833333333333
Visa_mpagominimo_lag1	0.0027812642053511	0.00846874157882758	0.00854166666666667
Visa_fechaalta	0.00261614260487036	0.00886699928815317	0.00916666666666667
Visa_msaldopesos_lag1	0.00260973248888691	0.00465766559131919	0.00645833333333333
cliente_edad	0.00246448044454441	0.00792044231057453	0.00625
Visa_mpagospesos_lag1	0.00229747003980361	0.00256994024922371	0.00541666666666667
mprestamos_personales_lag3	0.00224639019234482	0.00815920196393539	0.00395833333333333
Visa_fechaalta_lag1	0.00224236104206487	0.00363187909168265	0.00583333333333333
mcuenta_debitos_automaticos	0.00218297967096188	0.00832394319215203	0.00416666666666667
Master_msaldopesos	0.00216659733489741	0.00422294853236249	0.00416666666666667
mtarjeta_master_consumo	0.00215198019548508	0.00311469748369854	0.00104166666666667
Master_Finiciomora	0.00213965673575117	0.00286817445293956	0.000833333333333333
mactivos_margen_lag1	0.0019609924352422	0.00641427263473194	0.00666666666666667
mcomisiones_otras_lag1	0.00190866743118168	0.00548748895762092	0.008125
tcallcenter	0.00190125214763887	0.0036621902863048	0.0025
Visa_Fvencimiento	0.00186446019745242	0.00569181229875439	0.00708333333333333
mcomisiones_otras	0.001833056825219	0.00626960369495708	0.00854166666666667
mrentabilidad_lag1	0.0017903627991447	0.00633316899648349	0.006875
Visa_mfinanciacion_limite_lag1	0.0017873087416421	0.00433197260698757	0.00395833333333333
mcomisiones_lag1	0.00174099188427544	0.00435630976986542	0.00645833333333333
mttarjeta_visa_debitos_automaticos_lag6	0.00171677592307955	0.00528687260914796	0.01
Master_fechaalta	0.00167910451030607	0.00545414320689316	0.00520833333333333
Master_delinquency_lag1	0.00165135719613447	0.00212685725472938	0.00166666666666667
Master_fechaalta_lag1	0.00162682159519971	0.00372152851647234	0.00708333333333333
chomebanking_transacciones_lag1	0.00155021674111355	0.00607408045197506	0.00729166666666667
mpasivos_margen_lag1	0.00151090806695693	0.00448223296554364	0.00729166666666667
Visa_mfinanciacion_limite	0.00147562884773787	0.00335661655787451	0.00375
mcomisiones_otras_lag6	0.0014450697284073	0.00438992014213352	0.00854166666666667
cmobile_app_trx_lag3	0.00142190692199747	0.0057999359728136	0.00458333333333333
mrentabilidad_annual_lag6	0.00142160194370213	0.0042160546257398	0.0075
mrentabilidad_lag6	0.00139028915835724	0.0047570533179034	0.008125
mcuenta_corriente_lag1	0.00137018950022947	0.00417072644508961	0.00395833333333333
mcomisiones	0.00134231441185117	0.00306721796429172	0.00604166666666667
thomebanking_lag1	0.00132868270123278	0.00228910577094686	0.00583333333333333
Master_fechaalta_lag3	0.00130009739984793	0.00398180613959066	0.00708333333333333
chomebanking_transacciones_lag6	0.00128576280689397	0.00470087336300318	0.00729166666666667
Visa_mlimitecompra	0.0012822387025348	0.00393784688855398	0.00375
Master_msaldototal	0.00127762379495311	0.0023950299932421	0.00354166666666667
cliente_edad_lag1	0.00123793355287085	0.00528595387981739	0.00375
mplazo_fijo_dolares	0.00118902776159146	0.00537048385151689	0.00125
mpagomiscuentas	0.00116925322206316	0.00509294511424261	0.00208333333333333
ctarjeta_visa_debitos_automaticos	0.00115120630150092	0.00313726133859168	0.00604166666666667
ctrx_quarter_lag1	0.00113556386539589	0.00652429219038978	0.00333333333333333
tmobile_app_lag6	0.00113506236155042	0.00309658408198404	0.00958333333333333
ccajas_transacciones_lag1	0.00111773171787487	0.0040985901549705	0.00479166666666667
ccomisiones_otras	0.00111418546612736	0.00625824787967781	0.005
mrentabilidad_lag3	0.00111265862867564	0.00318866435919204	0.00520833333333333
mcomisiones_lag3	0.0011093372483784	0.0028471295944209	0.00604166666666667
ccajas_transacciones	0.00110455702614197	0.00382432997548188	0.00375
Master_Fvencimiento	0.00107346936082257	0.00208098379332937	0.005625
Visa_cconsumos_lag3	0.0010730326069477	0.00294540270300181	0.00458333333333333
Visa_mpagominimo_lag6	0.00107134769772642	0.0027339219792531	0.00520833333333333
Visa_mconsumospesos_lag1	0.00106956496823293	0.0028279199034678	0.00520833333333333
internet_lag1	0.00106689780068772	0.00316687374905966	0.00416666666666667
mcomisiones_otras_lag3	0.0010544423970002	0.00257195641334067	0.00520833333333333
chomebanking_transacciones	0.00105363003971622	0.00231300877121087	0.00395833333333333
Visa_fechaalta_lag3	0.00105253429156458	0.00304808158839742	0.00416666666666667
Master_Fvencimiento_lag3	0.00104264627843591	0.00392915561744294	0.005625
ccaja_seguridad_lag1	0.00103563434712505	0.00136677942030124	0.000416666666666667
Master_mlimitecompra	0.00102050057789785	0.00169367866645966	0.00333333333333333
Visa_mconsumosdolares_lag1	0.00100718474967625	0.00280850859610301	0.00541666666666667
Visa_Fvencimiento_lag1	0.000999443946604585	0.00380755228249487	0.005
Master_Fvencimiento_lag6	0.000995424974325479	0.00336089632443189	0.00604166666666667
tmobile_app	0.000967400653690724	0.00227507624711702	0.00375
Master_fechaalta_lag6	0.000963513654358476	0.00250786186873356	0.00479166666666667
mcaja_ahorro_lag6	0.000955482889411863	0.00318051034999625	0.00395833333333333
Visa_mconsumosdolares_lag6	0.000949368414450923	0.00265644170867622	0.00458333333333333
mrentabilidad_annual_lag3	0.000948888620912495	0.00201707482746484	0.004375
ctrx_quarter_lag3	0.000939439336246089	0.00301405881892357	0.00291666666666667
ctarjeta_visa_debitos_automaticos_lag1	0.000937270833873048	0.00221002631564993	0.00375
mcuenta_corriente_lag3	0.00093229417329553	0.00491830864418371	0.003125
Visa_mpagominimo_lag3	0.000921843647699925	0.00220260545704213	0.00375
mactivos_margen_lag3	0.000916044188211827	0.00309870907314142	0.005625
chomebanking_transacciones_lag3	0.000909902239249971	0.00265309098137956	0.004375
Visa_mconsumospesos_lag3	0.000898942776545255	0.00263005286969981	0.00458333333333333
Visa_Finiciomora_lag1	0.000887810222934043	0.00318584402052387	0.00125
mttarjeta_visa_debitos_automaticos_lag1	0.00087982879195302	0.0026852694189055	0.00354166666666667
Visa_Fvencimiento_lag3	0.000869103334409361	0.00251226306335708	0.004375
Visa_cconsumos	0.000859836340191665	0.00307407750448058	0.00354166666666667
Visa_mlimitecompra_lag1	0.000854282470363407	0.00255053466959788	0.00416666666666667
mcomisiones_lag6	0.000846800967563381	0.00258809832730216	0.005625
Visa_mfinanciacion_limite_lag3	0.000842158918919018	0.0017400034736904	0.00270833333333333
Master_msaldototal_lag1	0.000840620555712035	0.00300026069574806	0.00395833333333333
cmobile_app_trx_lag6	0.000836374324685763	0.00280484857090204	0.00541666666666667
