fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 212641	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	794	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.135221395906073	0.584692130600967	255	40155	5763	75735301.8490755	1
20231117 212812	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.239734886632617	0.149583411327674	501	17022	4139	73535545.7271364	2
20231117 213155	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.100895634504569	0.287079455508799	403	13865	5608	75155414.2928536	3
20231117 213607	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1176	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.193926023550241	0.0216919327176693	332	31580	4954	72801000.4997501	4
20231117 214522	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1430	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.08007003838652	0.828669041011607	975	29986	5080	75327976.011994	5
20231117 215008	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.208850022133744	0.380397721125244	550	43048	5082	75469298.3508246	6
20231117 215805	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.162583421253332	0.702395269963621	842	3989	5631	75097262.8685657	7
20231117 220421	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.114484653734324	0.561274444305183	90	8728	4615	76428053.4732634	8
20231117 220651	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295460577602102	0.991685206458327	693	22814	4668	75260291.854073	9
20231117 221005	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	423	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.14512984974473	0.789199019273573	263	35227	4209	75435130.9345327	10
20231117 223921	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6057	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0200188149544209	0.426841415468199	903	45472	5148	74994284.8575712	11
20231117 224256	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.221162577699129	0.221953478119557	591	21609	5212	74156859.5702149	12
20231117 230134	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	906	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0401773294380131	0.452798209184874	769	3106	4647	76428641.1794103	13
20231117 230411	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	420	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272175826230103	0.91182047783104	17	10106	5310	72554737.6311844	14
20231117 230747	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.264888431934941	0.62945319692852	827	47558	4662	72436944.5277361	15
20231117 232010	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2456	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0712469580709858	0.0734496149895177	184	25205	4504	75229101.4492754	16
20231117 233012	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0655589885752973	0.520590648025338	706	5699	4901	74311590.7046477	17
20231117 233530	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.1209655498278	0.632050215680874	174	18133	4892	75949783.1084458	18
20231118 000547	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0344170561475817	0.337546705369102	799	732	4715	76139727.6361819	19
20231118 001535	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	827	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.037702255456461	0.647224118968298	904	9716	4664	76490710.6446777	20
20231118 003030	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1932	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0391314901029266	0.585355800112782	695	20254	4926	78698869.5652174	21
20231118 004307	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1715	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.038762903628424	0.619953681621229	560	25959	4731	77306548.2258871	22
20231118 005651	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1365	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0380717851395046	0.561025706648265	733	19611	5168	76931686.1569215	23
20231118 010059	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	175	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233407562572158	0.56966293972458	938	20592	4159	75999083.958021	24
20231118 010333	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	199	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280002940385689	0.898427504961312	391	28224	4955	75342826.0869565	25
20231118 012338	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3726	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0363087101767984	0.222728061866936	675	25443	5388	76872985.5072464	26
20231118 012943	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1202	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0740349818474418	0.65515293722942	229	42939	5022	74915105.4472764	27
20231118 013914	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1711	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0483703032806942	0.821668461945239	715	27197	5022	77025810.0949525	28
20231118 014201	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.250664937088989	0.833072674468569	642	27290	4564	76212599.7001499	29
20231118 014834	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2616	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0409311422142846	0.0235385493394775	346	27745	4942	72666709.6451774	30
20231118 015346	619	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.196474615664631	0.929092181487189	859	3603	4278	74056438.7806097	31
