Feature	Gain	Cover	Frequency
Visa_status	0.0788479447716327	0.00729656275190142	0.00411094343549982
cdescubierto_preacordado	0.074274956999553	0.00733355080300256	0.00575878996027823
mcaja_ahorro	0.0692996118190107	0.00694911780523238	0.00329569304955682
Visa_delinquency_lag1	0.0469177137661615	0.00475211482329146	0.00308754401484796
ctrx_quarter	0.0429176792983447	0.00647781538155514	0.00272328320410747
ctarjeta_visa_transacciones	0.0293438578805241	0.00529767930358421	0.00196007007684169
mcuenta_corriente	0.0284667175240462	0.00691068854019762	0.00572409845449342
mcuentas_saldo	0.0224967952663295	0.00993233016240007	0.00584551872474025
mpayroll	0.020733542421934	0.00933269925973371	0.0032263100379872
mprestamos_personales	0.0197431014276861	0.0138991798413491	0.00596693899498708
mcaja_ahorro_lag1	0.0184665669755379	0.00384077377147845	0.00275797470989228
Visa_delinquency	0.0165496176977042	0.00269076966690227	0.00274062895699988
Visa_mpagospesos	0.016061251411336	0.00470806584814725	0.00777089729579712
internet	0.0142290633302582	0.00262901910780183	0.00466600752805676
mtarjeta_visa_consumo	0.0140037683740378	0.00296495639627867	0.00187334131237966
ctarjeta_visa	0.0138956589425563	0.00112523135426004	0.00060710135123415
mcuentas_saldo_lag1	0.01264845193071	0.00527482712608416	0.00312223552063277
ctarjeta_debito_transacciones	0.0114313923420138	0.00254988023200328	0.000745867374373385
Master_status	0.0109527188377582	0.00284326484632494	0.00301816100327835
mcuenta_corriente_lag1	0.0102536333336053	0.00508125259748731	0.00478742779830359
Visa_msaldopesos	0.00804668716580893	0.00511515918759137	0.00655669459332882
mpayroll_lag1	0.00758185031492821	0.00696255729356187	0.00235902239336698
Visa_Finiciomora	0.00704271049788426	0.00635353040316051	0.00199476158262649
mprestamos_personales_lag1	0.00650730840339304	0.00826534668426456	0.00440582123467069
ctrx_quarter_lag1	0.00600370187302827	0.00489570776846903	0.00254982567518343
Visa_mpagominimo	0.00554043878032807	0.00513066162616825	0.00711175868588576
mautoservicio	0.00550562983370221	0.00264627039890986	0.00169988378345562
Visa_msaldopesos_lag1	0.00515959220626488	0.00412963386540691	0.00586286447763265
Visa_fechaalta	0.00436711066335837	0.00714225532831098	0.00865553069330974
tmobile_app_lag6	0.00424429775107506	0.00588368248074683	0.0164958110006765
Master_delinquency	0.00417090022314811	0.00158504503573563	0.00192537857105688
Visa_mconsumospesos	0.00404441372055559	0.00413819035225401	0.00702502992142374
Visa_mpagospesos_lag1	0.00391767761071292	0.00418652975087423	0.00761478551976549
mactivos_margen	0.00390464882347294	0.00665175926425221	0.00447520424624031
thomebanking	0.00385015848409565	0.00392395393331649	0.00851676467017051
Visa_cadelantosefectivo	0.00362948866419803	0.00033370289476388	0.000780558880158193
Visa_mpagominimo_lag1	0.00342314561420806	0.00555162952172449	0.00638323706440478
Visa_mconsumototal	0.00340063262605029	0.00456165036036031	0.00721583320324019
ccaja_ahorro	0.00339141669403314	0.0108111567487403	0.00267124594543026
Visa_fechaalta_lag1	0.00333411188028811	0.00515070879295262	0.00695564690985412
Visa_Fvencimiento	0.00326139944939501	0.005750523319137	0.00816984961232242
Visa_msaldototal_lag1	0.00325446833082831	0.0030592347081818	0.00468335328094916
Master_Fvencimiento_lag6	0.00313031953921884	0.00502586546988084	0.00921059478586668
Visa_mpagospesos_lag3	0.00310461286794429	0.00492996794918668	0.00924528629165149
Visa_msaldototal	0.00309741862799964	0.00367037972815908	0.00544656640821495
Master_fechaalta_lag6	0.00302443592738336	0.00502984640929683	0.00921059478586668
Visa_Finiciomora_lag1	0.00298219292186885	0.00254168259533787	0.000954016409082236
Master_fechaalta	0.00294271710693275	0.00523712165143901	0.00820454111810723
Master_fechaalta_lag1	0.00293149379985921	0.00447187525375859	0.00811781235364521
Master_Fvencimiento	0.00285521748832877	0.00544058536762203	0.00874225945777177
Master_Fvencimiento_lag3	0.0028252802052512	0.00595525828215806	0.00900244575115783
Visa_mpagosdolares_lag3	0.002798572488038	0.00129685558287699	0.00176926679502524
mrentabilidad	0.00279329192990113	0.00436565255496438	0.00376402837765173
cmobile_app_trx_lag6	0.00278373491425455	0.00651877080792294	0.00957485559660717
cmobile_app_trx	0.00274504627633743	0.00413561777753928	0.00952281833792996
internet_lag1	0.00272786955907184	0.00319196756795584	0.00537718339664533
Master_Fvencimiento_lag1	0.00272254401921881	0.00479546196904972	0.00843003590570849
Visa_mpagospesos_lag6	0.00270195053192096	0.00610022914190576	0.00870756795198696
Visa_mconsumosdolares_lag6	0.00269509459872694	0.00429164018942412	0.00815250385943002
thomebanking_lag1	0.00262647042891435	0.00342872831798159	0.00745867374373385
Visa_mconsumototal_lag3	0.00259344465722894	0.0042243802788713	0.00777089729579712
Visa_mconsumospesos_lag3	0.00256334549528958	0.00405357036057922	0.0076841685313351
Master_fechaalta_lag3	0.00253667077792244	0.00481727376706955	0.00789231756604395
mprestamos_personales_lag3	0.00250069611971907	0.00453157873358907	0.00230698513468977
Visa_mconsumosdolares_lag3	0.00245639233956702	0.0043434337401918	0.00752805675530346
cdescubierto_preacordado_lag1	0.0023972739308813	0.00611392376542486	0.00341711331980365
Visa_mconsumosdolares_lag1	0.00238256456741784	0.00415175348657051	0.00716379594456297
ccaja_seguridad	0.00238195888289789	0.00324441718063964	0.000780558880158193
Visa_fechaalta_lag3	0.00237253213449678	0.0041686581075493	0.00586286447763265
cliente_edad_lag1	0.00236186523130113	0.00614652136898289	0.00437112972888588
Visa_cconsumos	0.00235277520642334	0.00290210575698637	0.00509965135036686
Visa_mpagominimo_lag6	0.0023314157870387	0.00481438488008357	0.00643527432308199
Visa_Fvencimiento_lag1	0.00231362586251341	0.00403888989099655	0.00643527432308199
Visa_Fvencimiento_lag3	0.00226829845977304	0.00583416669206069	0.00667811486357565
Visa_mconsumospesos_lag1	0.00226756756396678	0.00385792845262499	0.00678218938093008
Visa_mconsumototal_lag6	0.0022619052565996	0.00374714672328897	0.00770151428422751
Master_msaldopesos	0.00225183839632456	0.00266833484074493	0.00379871988343654
Visa_mpagominimo_lag3	0.00220194890353863	0.0032113205640236	0.00640058281729719
cmobile_app_trx_lag3	0.00219282428431033	0.00505649055085363	0.00534249189086052
Visa_mfinanciacion_limite	0.00218820146934258	0.00515412529766523	0.0048394650569808
mextraccion_autoservicio	0.00217320580252089	0.000988687891258083	0.000745867374373385
mrentabilidad_annual_lag1	0.00212185996478855	0.0046873879022829	0.00310488976774037
cliente_edad	0.00208496591375343	0.00440888611250622	0.00357322509583529
Visa_cconsumos_lag6	0.00207969702835692	0.00433561885244736	0.0060710135123415
Master_mfinanciacion_limite	0.00205914961624326	0.00306989428408551	0.00513434285615167
Visa_mconsumospesos_lag6	0.00205268286254341	0.00343423656215649	0.00676484362803768
Master_mfinanciacion_limite_lag1	0.00202826625137124	0.00400267767232732	0.00535983764375293
Visa_mconsumototal_lag1	0.00199544939959245	0.0033924304698527	0.00610570501812631
cpayroll_trx	0.00198758253881788	0.00374910429762803	0.000901979150405023
Visa_Fvencimiento_lag6	0.00195227764040932	0.00402676981607617	0.00560267818424659
Master_mlimitecompra_lag3	0.00194731162519834	0.00371946210997883	0.00509965135036686
Master_mlimitecompra	0.00194725914306016	0.00289447818368493	0.00515168860904408
Master_mfinanciacion_limite_lag3	0.00193871524323477	0.00344374456946479	0.00518638011482888
