Feature	Gain	Cover	Frequency
recibe_sueldo	0.096228901942065	0.0412172035909149	0.00154320987654321
mpasivos_margen_lag1	0.0578022886797723	0.0181765617516048	0.00474833808167142
disminuye_saldo_ahorro	0.051016774494566	0.0165938877453592	0.00462962962962963
deudas	0.0506157886145243	0.0240715591402748	0.00712250712250712
ctrx_quarter_lag2	0.0469699451470726	0.0046428200566321	0.000474833808167142
active_quarter_lag3	0.0459412795500365	0.000601622547914394	0.00237416904083571
cajaahorro_saldo_pos	0.0457449076635291	0.00453797464773458	0.00462962962962963
mpasivos_margen	0.0395285112059172	0.0225265014973968	0.0065289648622982
disminuye_saldo_corriente	0.038745564970524	0.0146903440015023	0.0151946818613485
ctrx_quarter_lag1	0.0344283108059677	0.0143621789976105	0.00106837606837607
ctrx_quarter	0.0331689409109405	0.0244408825821591	0.00379867046533713
tiempo_sin_disminuir	0.0258548679387623	0.00264489292561749	0.00332383665716999
mtarjeta_visa_consumo	0.023277385060274	0.00812202872131791	0.00201804368471035
ctrx_quarter_lag3	0.0208542377179107	0.0109948717421346	0.00178062678062678
Visa_mpagominimo	0.0204424637826878	0.00745238895762599	0.00735992402659069
usa_tarjeta_debito	0.0176817755939797	0.0207259547155471	0.00878442545109212
tiempo_sin_aumento	0.0163198809660749	0.015570167189394	0.0130579297245964
ctarjeta_master	0.0140343477594935	0.00159698304943238	0.00332383665716999
activos	0.011221131066719	0.00911500594613462	0.00439221272554606
ctarjeta_debito_transacciones	0.0111958632980111	0.00557271551269832	0.00213675213675214
usa_tarjeta_visa	0.0105242483472638	0.0209780706735184	0.00284900284900285
Visa_status	0.0105105965173344	0.0132501458419905	0.00284900284900285
cdescubierto_preacordado	0.0104332884189948	0.00892001825665017	0.00320512820512821
mpayroll_lag1	0.00937076667013442	0.0202180259058237	0.00308641975308642
mprestamos_personales	0.00920522378859974	0.00843729682038329	0.00617283950617284
disminuyo_tarjetas	0.00873605841227645	0.00674098555378704	0.000830959164292498
Visa_msaldototal_lag1	0.0080665563755293	0.00271471167338968	0.00249287749287749
aumento_saldo_ahorro	0.00737833234479593	0.019222989117086	0.0146011396011396
mcaja_ahorro	0.00712090455241361	0.00454684625451036	0.001661918328585
mcuentas_saldo	0.00636279646105844	0.00692855130677267	0.00356125356125356
Visa_msaldopesos_lag1	0.00628341995057972	0.004625986992057	0.00296771130104463
mprestamos_personales_lag1	0.00628196213370225	0.00352105206015552	0.00427350427350427
mcaja_ahorro_lag3	0.00488493604498431	0.00209061689043774	0.00261158594491928
saldo_pos	0.00485927652486704	0.00426896463582373	0.00830959164292498
tcallcenter	0.00480401359557539	0.0146557489574173	0.00842830009496676
mpayroll	0.00478221870018062	0.0113253261929363	0.00296771130104463
mcomisiones_otras_lag3	0.00475341050755027	0.00573331927512846	0.0056980056980057
total_tarjetas	0.00458858452706438	0.00208353743267748	0.000356125356125356
matm	0.00425246018262831	0.00113431773107479	0.00213675213675214
mpayroll_lag3	0.00425055359634938	0.0154933158987572	0.00427350427350427
Master_status	0.00412040941426247	0.00498243229507323	0.000830959164292498
mcomisiones_otras	0.00388217190906231	0.00440259233322967	0.00605413105413105
aumento_saldo_corriente	0.00370655232438729	0.00410998882027419	0.00949667616334283
tiempo_sin_aumento_cc	0.00370259268824136	0.00213478257324431	0.00320512820512821
mcomisiones_lag2	0.00359909501564004	0.00520901247531819	0.00427350427350427
mcomisiones_otras_lag2	0.00356920662886074	0.00814195347751926	0.00474833808167142
Visa_msaldototal	0.00332291763952593	0.00708088866458147	0.00273029439696106
balance	0.00312632558458459	0.00265726438361207	0.00356125356125356
mrentabilidad_annual_lag2	0.00304428733489315	0.00572167030652757	0.0040360873694207
mcomisiones_otras_lag1	0.00281427617230224	0.00376716760296757	0.00451092117758784
mcaja_ahorro_lag1	0.00273332790758446	0.00589056393102688	0.00273029439696106
mprestamos_personales_lag3	0.00272067143676144	0.00185290380544453	0.00249287749287749
thomebanking	0.0026225816253622	0.00261234806247439	0.00925925925925926
mcomisiones_mantenimiento	0.00223752432372931	0.00987744806499935	0.00178062678062678
tiempo_sin_disminuir_cc	0.00223352287601754	0.0019135178506815	0.00320512820512821
Visa_madelantopesos	0.00220074106056997	0.00669869646680824	0.00249287749287749
matm_lag1	0.00201443025621841	0.00088738117758809	0.00154320987654321
balance_transferencias	0.00200193730785617	0.00434595667114757	0.00546058879392213
recibe_transferencias	0.00195957963760487	0.00333125315813485	0.011039886039886
Visa_cadelantosefectivo	0.00193587717771933	0.00917197470397616	0.00142450142450142
tiene_debito_automatico	0.00192743904628069	0.00548885044515527	0.00902184235517569
mcuenta_corriente	0.00183781314186875	0.00143062282930056	0.00308641975308642
mcomisiones_lag3	0.00182173369845993	0.00263452473366906	0.00296771130104463
foto_mes	0.00180330037247313	0.00193063240463077	0.00273029439696106
Visa_fechaalta_lag2	0.00160657314309493	0.0011441370187436	0.0040360873694207
active_quarter_lag2	0.00155580500628574	0.000235447095531179	0.000949667616334283
mrentabilidad_annual_lag3	0.00152026525331683	0.00361201535141711	0.00546058879392213
mactivos_margen	0.0014984633335892	0.00421577721857516	0.00451092117758784
Visa_mpagosdolares	0.00148513179992214	0.000961624000024246	0.00237416904083571
mcuenta_corriente_lag2	0.00141244346678139	0.00336075324454739	0.00356125356125356
mcuenta_corriente_lag3	0.00137405034596481	0.00186168158242892	0.00296771130104463
mrentabilidad_annual_lag1	0.0013399197165858	0.00290411649028652	0.00344254510921178
mrentabilidad	0.00130491597410325	0.0010036128316706	0.00415479582146249
mcomisiones_lag1	0.00130153959417131	0.00410885817128795	0.00641025641025641
mpayroll_lag2	0.00128735991238016	0.00717696567947374	0.00367996201329535
Visa_fechaalta_lag1	0.00127318501136114	0.00162226548672201	0.00379867046533713
mprestamos_personales_lag2	0.00126964720350015	0.00141282800936373	0.00142450142450142
Master_fechaalta	0.00126638400832688	0.00283768968947303	0.00985280151946819
Visa_msaldopesos	0.00123083250283324	0.00321660253603723	0.00308641975308642
mrentabilidad_annual	0.00119210852393507	0.00316164173573141	0.00498575498575499
thomebanking_lag1	0.00116426083732742	0.00202823884512266	0.00759734093067427
mcomisiones	0.00116264004953662	0.00315517217161518	0.00391737891737892
tiempo_sin_disminuir_ah	0.00114775950939782	0.000722822489450928	0.000593542260208927
thomebanking_lag3	0.00114599768196893	0.00113687459289013	0.00451092117758784
ccomisiones_otras_lag2	0.00113909387155295	0.00179875932432379	0.000356125356125356
Visa_Fvencimiento	0.00110942377060129	0.00154353760025748	0.00593542260208927
mcaja_ahorro_lag2	0.00108425886129914	0.000752970001424055	0.001661918328585
tiene_visa	0.00100657863364673	0.00505329255352983	0.00142450142450142
mpasivos_margen_lag2	0.00099913230675751	0.00270952757741547	0.00201804368471035
cmobile_app_trx	0.000971058123627341	0.00390424354520704	0.0122269705603039
Master_fechaalta_lag3	0.000916804787191952	0.00308319064715148	0.00819088319088319
mcuentas_saldo_lag2	0.000906617571396234	0.00273774688717556	0.00261158594491928
ccajas_transacciones	0.000885055372937691	0.00304608096465733	0.00213675213675214
mcuenta_debitos_automaticos	0.00086311887783121	0.00402652252934454	0.00498575498575499
