Feature	Gain	Cover	Frequency
Visa_status	0.182509580119235	0.0657209457321708	0.0308641975308642
mcaja_ahorro	0.140857285286235	0.07796643891337	0.0493827160493827
mtarjeta_visa_consumo	0.0797908367990829	0.0749547235831135	0.0576131687242798
ctrx_quarter	0.0676605708436417	0.0700788598168979	0.0432098765432099
cdescubierto_preacordado	0.0606444983911235	0.0365332063994577	0.0411522633744856
ctarjeta_visa	0.0591361457665558	0.00982789993271019	0.00411522633744856
mcuenta_corriente	0.0500980648197926	0.0308741605533578	0.0267489711934156
mcaja_ahorro_lag1	0.0467588221501109	0.038374028924532	0.0226337448559671
Visa_delinquency_lag1	0.0301355120965399	0.0197970319982695	0.0102880658436214
mpayroll	0.0289088230358746	0.0719690698799009	0.0452674897119342
mautoservicio	0.027144284677866	0.042480307434625	0.0349794238683128
mcuentas_saldo	0.0222185395474416	0.0457979575885257	0.0390946502057613
internet	0.0181638766432489	0.0141283136660707	0.0164609053497942
Visa_Finiciomora	0.016555612181447	0.0222626040480901	0.0102880658436214
mprestamos_personales	0.0159669962126578	0.0222306559145517	0.0432098765432099
ctrx_quarter_lag1	0.0158873820791041	0.0171460664388857	0.0102880658436214
Visa_cconsumos	0.0130695215542713	0.0100497319237146	0.0102880658436214
Visa_delinquency	0.0104837281752792	0.030890228955167	0.0288065843621399
ctarjeta_visa_transacciones	0.0102513936953292	0.0380918853979697	0.0267489711934156
Master_status	0.00916460082605509	0.00827948458654751	0.0246913580246914
mcuenta_corriente_lag1	0.00897846770804732	0.0142372329032268	0.0185185185185185
Visa_mpagospesos_lag1	0.0080121531641295	0.0110544567004808	0.0164609053497942
Visa_mpagospesos	0.00794372608036068	0.0249593032348542	0.037037037037037
mtarjeta_visa_consumo_lag1	0.00708724713052212	0.00780767102860991	0.00823045267489712
ctarjeta_debito_transacciones_lag1	0.00577125765563583	0.00491394996635509	0.00205761316872428
Visa_msaldototal	0.00509259322121035	0.0180169675279422	0.0205761316872428
Visa_mpagominimo	0.00448678394416629	0.0136379161052579	0.0226337448559671
mextraccion_autoservicio	0.00384731210120818	0.010222220399809	0.00617283950617284
mprestamos_personales_lag1	0.00372541952464459	0.00986106184376301	0.0164609053497942
Visa_Finiciomora_lag1	0.00338465588748952	0.00491394996635509	0.00205761316872428
Master_delinquency	0.00301611146652954	0.00771561889660153	0.0164609053497942
Visa_msaldopesos	0.00278078548668277	0.00953973783059746	0.0164609053497942
internet_lag1	0.00230342960524362	0.00202466893998181	0.0102880658436214
cpayroll_trx	0.00206553746823897	0.00491394996635509	0.00205761316872428
Visa_fechaalta	0.00189223111971532	0.00323644026248687	0.0123456790123457
cpayroll_trx_lag1	0.00183894086006729	0.00491394996635509	0.00205761316872428
ctarjeta_debito_transacciones	0.00173004520269499	0.00572422506972051	0.00411522633744856
mcuenta_corriente_lag3	0.00133415096495168	0.000359768686457018	0.00205761316872428
Master_Fvencimiento	0.00119170478106143	0.000980210244377814	0.00617283950617284
Master_delinquency_lag1	0.00114872598753774	0.00141749088868161	0.00411522633744856
Visa_msaldototal_lag1	0.000982773372765	0.00515544137969046	0.00823045267489712
mactivos_margen	0.000941603648297093	0.00279227316026484	0.0102880658436214
matm	0.000920097982588391	0.00145696695841015	0.00411522633744856
Visa_msaldopesos_lag1	0.000781084924832659	0.00602435514390483	0.00823045267489712
mpayroll_lag1	0.000660174606550679	0.00590136740778706	0.00823045267489712
Visa_mfinanciacion_limite	0.000659651720464413	0.000343272632466584	0.00205761316872428
Visa_mconsumospesos	0.000601806213903631	0.0046679996501302	0.00617283950617284
mpasivos_margen	0.000592069622706465	0.00255025975970828	0.00823045267489712
ctarjeta_visa_transacciones_lag1	0.000526931107184791	0.00429001172295253	0.00205761316872428
Visa_mconsumototal	0.000522279764831913	0.00465106965495588	0.00411522633744856
Visa_mfinanciacion_limite_lag3	0.000512901774401659	0.000669244218601607	0.00411522633744856
mextraccion_autoservicio_lag1	0.000505539178585783	0.00182636410794736	0.00411522633744856
mactivos_margen_lag1	0.000481121245273738	0.000595732066449804	0.00205761316872428
mrentabilidad_lag1	0.000476500534524736	0.00207853424780799	0.00617283950617284
mcomisiones_mantenimiento	0.000467014913903123	0.00180682417666704	0.00411522633744856
mcuentas_saldo_lag1	0.000414748705394817	0.0013642796371326	0.00411522633744856
Visa_mfinanciacion_limite_lag1	0.000411983818734025	0.00231950367392215	0.00617283950617284
Visa_mpagominimo_lag1	0.000369249525071783	0.00456316197570377	0.00617283950617284
Visa_mlimitecompra_lag1	0.000365042066915645	0.00187200340028765	0.00617283950617284
Master_msaldopesos_lag1	0.000353087126719647	0.00392678408502973	0.00617283950617284
Visa_madelantodolares_lag1	0.000323098975697558	0.000475410867462011	0.00205761316872428
catm_trx	0.000292193739193495	0.00120177180826763	0.00205761316872428
Master_fechaalta	0.000288124824167989	0.000852927119439808	0.00411522633744856
Master_madelantopesos	0.000264802963857012	0.000463556097438386	0.00205761316872428
mcuenta_debitos_automaticos	0.00026114800961347	0.0019764951795675	0.00411522633744856
Master_mconsumototal	0.000242001583729605	0.00102943426823718	0.00205761316872428
mrentabilidad_annual_lag1	0.000233683427391065	0.000466405015645655	0.00205761316872428
mcomisiones_otras_lag1	0.000211674307140853	0.00159506087892938	0.00411522633744856
Master_mpagospesos	0.000198125485512636	0.0015821181114447	0.00205761316872428
Visa_madelantodolares	0.000196312133367981	0.000542816398026048	0.00205761316872428
matm_lag1	0.000183833395170986	0.00043670205605861	0.00205761316872428
Master_msaldototal	0.000168471750114635	0.00120678414339168	0.00411522633744856
Master_mpagominimo	0.00016792653666928	0.00108331215406869	0.00205761316872428
Visa_madelantodolares_lag3	0.000162234762665782	0.00025905659777886	0.00205761316872428
Master_msaldototal_lag1	0.000145650807475994	0.000600279015376637	0.00205761316872428
ccaja_ahorro	0.000133948981825289	0.00296910104819814	0.00205761316872428
Visa_madelantopesos_lag3	0.000118297653472793	0.000287136994678321	0.00205761316872428
Visa_cconsumos_lag1	0.000118271431073654	0.000549382116808363	0.00205761316872428
mrentabilidad_annual_lag3	0.000115209434832388	0.000713908715528813	0.00205761316872428
Visa_Fvencimiento	0.000114450081495288	0.000339536964883542	0.00205761316872428
cproductos	0.000114442708567673	0.00185686577087287	0.00205761316872428
mtarjeta_master_consumo	0.000114272161110455	0.00079669714661157	0.00205761316872428
Visa_mconsumototal_lag3	0.000109105931327652	0.000425557943336136	0.00205761316872428
ctarjeta_master	0.000108129319156401	0.00114005782511546	0.00205761316872428
cdescubierto_preacordado_lag1	0.000106042033647159	0.000611668399203048	0.00205761316872428
mpagomiscuentas	0.000105835911814196	0.000407791510807362	0.00205761316872428
Visa_fechaalta_lag1	9.1975836225948e-05	0.000627642465972282	0.00205761316872428
mcaja_ahorro_lag3	8.28769741638841e-05	0.00103315106881223	0.00205761316872428
Master_fechaalta_lag1	8.05277654010925e-05	0.000568909470083353	0.00205761316872428
