Feature	Gain	Cover	Frequency
mcuenta_corriente	0.13398162567127	0.0135234411057973	0.0106866150146941
ctarjeta_visa	0.115609548146207	0.00326469045206285	0.00106866150146941
mcaja_ahorro	0.100761747831764	0.0324628868745941	0.00774779588565322
ctrx_quarter	0.0961484515629882	0.0292356628941224	0.00828212663638792
mtarjeta_visa_consumo	0.06998766566174	0.0497401640337833	0.0149612610205717
cdescubierto_preacordado	0.0628869386098487	0.0112598417804982	0.0114881111407962
Visa_status	0.0564023055869113	0.012438958805431	0.00667913438418381
mcaja_ahorro_lag1	0.0287219107898144	0.00842615712329471	0.00454181138124499
mpayroll	0.0262734164037504	0.0630704615080928	0.018968741651082
mprestamos_personales	0.0251381699085974	0.0280480635755249	0.0200374031525514
Visa_Finiciomora	0.0245310827793639	0.0175277695179856	0.00454181138124499
mcuentas_saldo	0.0220148475771233	0.0395233736625389	0.0211060646540208
ctarjeta_visa_transacciones	0.0195757530584084	0.0244153017365267	0.0109537803900614
Visa_Finiciomora_lag1	0.0153471412466742	0.00688282785425339	0.00213732300293882
Master_delinquency	0.0123415368535811	0.0103734661557851	0.00534330750734705
mautoservicio	0.0100796354475288	0.0203269354510416	0.0133582687683676
ctrx_quarter_lag1	0.010005800704704	0.0102106933466847	0.00240448837830617
Visa_delinquency	0.00855836018029236	0.0153347867913976	0.00748063051028587
mcuenta_corriente_lag1	0.00819497835114977	0.0025780578036249	0.00480897675661234
internet	0.00781767097373332	0.00380114439195846	0.00694629975955116
mcuentas_saldo_lag1	0.0070582537198367	0.00205145776232696	0.00320598450440823
mpayroll_lag1	0.00655809814852466	0.0161358221197085	0.00774779588565322
mextraccion_autoservicio_lag1	0.00634755404403174	0.00068636494484357	0.00213732300293882
cpayroll_trx_lag1	0.00575671476638932	0.00470049010542399	0.000534330750734705
Master_status	0.00469288676993602	0.0157718595317611	0.00801496126102057
mprestamos_personales_lag1	0.00451813062856156	0.00747783368367963	0.00801496126102057
Visa_mpagospesos	0.00376364881650694	0.0103474658201691	0.00881645738712263
ctarjeta_debito_transacciones_lag1	0.00349373992760907	0.0031486123687958	0.00267165375367352
Visa_msaldopesos	0.00311842325674731	0.0108154838928808	0.00801496126102057
Visa_mfinanciacion_limite_lag1	0.00306939255303366	0.00284862793199993	0.00427464600587764
Visa_mpagominimo_lag1	0.00281587229634462	0.00769815374185542	0.00854929201175528
tcallcenter	0.00279926680953065	0.00679211543853036	0.00587763825808175
Visa_msaldototal	0.00279870916542079	0.0131835297306664	0.00801496126102057
mactivos_margen_lag1	0.00279853626508471	0.00163228807582588	0.00267165375367352
matm	0.00274933782104338	0.00117746568478322	0.00187015762757147
cpayroll_trx	0.0025100551975023	0.002350245052712	0.000267165375367352
Master_msaldopesos	0.00212504018111841	0.00780390869325823	0.00828212663638792
Visa_mpagominimo	0.00202857358809145	0.0179336713330842	0.0120224418915309
Visa_fechaalta	0.00194458991988616	0.0113670525581895	0.0106866150146941
ctarjeta_debito_transacciones	0.00188565324062864	0.0095700786453303	0.00320598450440823
Visa_fechaalta_lag1	0.00182923911018884	0.00500367495373022	0.00801496126102057
mcuenta_debitos_automaticos	0.00176852832088556	0.0083716147718687	0.0061448036334491
mprestamos_personales_lag3	0.00170654199982114	0.00282416764402793	0.00240448837830617
mactivos_margen	0.00166325066664918	0.00622894227359105	0.00534330750734705
thomebanking	0.00155635295809558	0.00304797386474177	0.0061448036334491
Visa_msaldopesos_lag1	0.00143452730818635	0.00844065222016351	0.00721346513491851
Master_msaldototal	0.00133296522305456	0.00340425125399658	0.00427464600587764
ccaja_ahorro	0.00129514876021417	0.00639497264440742	0.00106866150146941
Visa_delinquency_lag1	0.00122753009771975	0.00431493977930943	0.00240448837830617
Master_delinquency_lag1	0.00122285375702112	0.000640530479998831	0.000534330750734705
mplazo_fijo_dolares	0.00122268994060905	0.00680697148406574	0.00133582687683676
Master_fechaalta	0.00115079060550345	0.00854865708492136	0.00935078813785733
mpagomiscuentas	0.00113457421461638	0.00702952040025766	0.0050761421319797
mrentabilidad	0.00111310992156812	0.0021704204270211	0.00293881912904088
Visa_msaldototal_lag1	0.000999940881397724	0.00678891201911445	0.0056104728827144
ccaja_seguridad	0.000985155886638493	0.00470049010542399	0.000534330750734705
mextraccion_autoservicio	0.000969030919384683	0.00183570370478343	0.00213732300293882
internet_lag1	0.000894065365750741	0.00138133851538511	0.00267165375367352
cliente_edad_lag1	0.000891824138202116	0.00449411168949492	0.00427464600587764
ccaja_seguridad_lag1	0.000880096678964901	0.00470049010542399	0.000534330750734705
