Feature	Gain	Cover	Frequency
ctarjeta_visa	0.243216162544222	0.00746861256869092	0.0016366612111293
ctrx_quarter	0.0850597739877518	0.0189749668672772	0.00818330605564648
mcaja_ahorro	0.0844628612705808	0.0503930810486255	0.0180032733224223
mcuenta_corriente_lag1	0.0548109612685756	0.00650136608558851	0.00981996726677578
Visa_status	0.0542008404868315	0.0135042776512038	0.00654664484451719
Visa_delinquency_lag1	0.0432109535141085	0.00798982949766843	0.00327332242225859
mcuenta_corriente	0.0361830572737861	0.0348912145932558	0.016366612111293
mcuentas_saldo	0.0355025537477593	0.0358264495688091	0.0180032733224223
mprestamos_personales	0.0320919165832972	0.0249883032302813	0.0245499181669394
cdescubierto_preacordado	0.0317189982166983	0.0147211259547392	0.0147299509001637
Visa_mpagospesos	0.0304824439226149	0.0174827851881216	0.0147299509001637
mpayroll	0.0287030806842613	0.0695620955763251	0.027823240589198
internet	0.0241186955785039	0.0113598220768103	0.0114566284779051
mautoservicio	0.0233054154410848	0.0227070746903697	0.0114566284779051
mautoservicio_lag1	0.0211444782330414	0.0106728411693566	0.00654664484451719
Visa_Finiciomora	0.0179021415162312	0.0224058377060728	0.00490998363338789
ctarjeta_visa_transacciones	0.0177054143454477	0.0352832958199375	0.0147299509001637
mtarjeta_visa_consumo_lag1	0.0167789409691537	0.00413204615912187	0.00327332242225859
mpasivos_margen	0.0120495835326901	0.01620391160167	0.0212765957446809
mtarjeta_visa_consumo	0.0112601214691559	0.0416204655255085	0.0180032733224223
matm	0.00840559258135923	0.00224614874513552	0.00327332242225859
Visa_delinquency	0.00672501538572546	0.0155019811576959	0.00981996726677578
Visa_msaldopesos	0.00668179642604708	0.0334966637107877	0.0245499181669394
mpayroll_lag1	0.00642903259617548	0.0185841856002929	0.0114566284779051
mcaja_ahorro_lag1	0.00551597985546643	0.0081847661011192	0.00490998363338789
Visa_msaldototal	0.00506035034733696	0.0141070383756132	0.0114566284779051
Master_delinquency	0.00468890191660412	0.00746861256869092	0.0016366612111293
Master_status	0.00453545007711721	0.00901043167952843	0.0147299509001637
ctrx_quarter_lag1	0.00336961816872138	0.00578705734890731	0.0016366612111293
mprestamos_personales_lag1	0.00323498026499441	0.010479500839946	0.0114566284779051
mactivos_margen	0.00278614810685355	0.010467074754603	0.016366612111293
Visa_mconsumototal	0.00229376851217829	0.00209931065048951	0.00490998363338789
Master_msaldototal	0.00229223220401506	0.00854027640278364	0.00818330605564648
Visa_mlimitecompra_lag1	0.00162438050740196	0.00308756677634885	0.00818330605564648
Visa_mconsumospesos	0.00140607629756746	0.00124396584516478	0.00327332242225859
cpayroll_trx_lag1	0.00140360337578336	0.00746861256869092	0.0016366612111293
Visa_mpagominimo	0.00139482323754648	0.0138031058866496	0.0114566284779051
Visa_fechaalta	0.00137737622146502	0.0152212663312694	0.0130932896890344
Visa_mpagado_lag1	0.00132787092026644	0.000952182244255774	0.0016366612111293
Master_Finiciomora	0.00131260483602874	0.00746861256869092	0.0016366612111293
mextraccion_autoservicio	0.00116940752721783	0.00847783054467126	0.00818330605564648
thomebanking	0.00113088946784971	0.00350314286285613	0.00818330605564648
Master_msaldopesos_lag1	0.00107457154617976	0.00550158237594169	0.00654664484451719
cmobile_app_trx_lag3	0.00103023335243233	0.00197816587692203	0.00490998363338789
Visa_mpagominimo_lag1	0.0010023595943354	0.0093435750275754	0.0130932896890344
mrentabilidad	0.000957941009035232	0.00352918984944058	0.00818330605564648
Visa_msaldototal_lag1	0.000812493565568019	0.0117700931807288	0.0114566284779051
mrentabilidad_lag1	0.000747430293105193	0.00152409760143289	0.00490998363338789
mcuenta_debitos_automaticos	0.000639803799399718	0.00590728450386484	0.00490998363338789
Visa_msaldopesos_lag1	0.000544423612858532	0.00779470172367391	0.00490998363338789
Master_mpagominimo	0.000536572763120042	0.00100993486551936	0.0016366612111293
Visa_mpagosdolares_lag3	0.000536110389088981	0.000533748158119604	0.0016366612111293
chomebanking_transacciones	0.000529437757293764	0.00912377669491135	0.0130932896890344
Visa_mlimitecompra_lag3	0.000442785314956906	0.00594478260601926	0.00490998363338789
Visa_mfinanciacion_limite_lag1	0.000435198583836445	0.0030867256259564	0.00654664484451719
Visa_msaldodolares_lag1	0.00042929410907956	0.000891925288869206	0.0016366612111293
Visa_mconsumospesos_lag1	0.000428858888023897	0.00295689215117598	0.00654664484451719
mcuentas_saldo_lag3	0.000419292339748728	0.00356480492173918	0.00490998363338789
mcomisiones_lag1	0.000375197177475393	0.00163240527298829	0.00490998363338789
Master_fechaalta_lag3	0.000371008566427937	0.00913308670039144	0.00818330605564648
Visa_fultimo_cierre_lag1	0.000357360008576346	0.0013136379498305	0.00327332242225859
mcomisiones_otras_lag1	0.000327319168148931	0.00265159279282462	0.00654664484451719
mcuenta_debitos_automaticos_lag1	0.000322033500665932	0.00112469454292595	0.00327332242225859
Visa_mlimitecompra	0.000312323473986693	0.00145632764367738	0.00490998363338789
Visa_Finiciomora_lag1	0.000309119661308262	0.00338199808928865	0.0016366612111293
thomebanking_lag3	0.000283830143095964	0.0020661234440964	0.00490998363338789
Visa_mfinanciacion_limite_lag3	0.000270631990500521	0.00426239579437039	0.00490998363338789
Visa_Fvencimiento_lag1	0.000264727856303235	0.00116956226954152	0.00327332242225859
internet_lag3	0.00022744047503379	0.00066095303792361	0.0016366612111293
mpagomiscuentas	0.000226014353893891	0.00252364234790003	0.00327332242225859
ccomisiones_otras	0.00021352476255733	0.00368266156195434	0.00490998363338789
Visa_Fvencimiento_lag3	0.000209704479483586	0.000898539789682579	0.0016366612111293
Master_Fvencimiento_lag1	0.00020709101598357	0.00263166326363982	0.00490998363338789
Visa_mconsumospesos_lag6	0.000179692752198004	0.000871145050764764	0.00327332242225859
Master_fechaalta	0.000176744329651532	0.0111182111851056	0.00981996726677578
mtransferencias_emitidas	0.000174427859388116	0.00347001300762614	0.0016366612111293
Visa_madelantodolares_lag3	0.000156471617736278	0.000525288861559148	0.0016366612111293
numero_de_cliente_lag3	0.000152627434743603	0.000674344534512534	0.0016366612111293
Visa_mconsumototal_lag1	0.00015049411350805	0.00146975737437505	0.00490998363338789
Visa_mpagospesos_lag3	0.000146596735482353	0.00338720748660554	0.00654664484451719
Master_msaldopesos	0.000144188646186314	0.00156037221210739	0.00490998363338789
thomebanking_lag1	0.000144137754332055	0.000941524486442319	0.00327332242225859
Visa_msaldototal_lag3	0.000142564801203371	0.00156929031797282	0.00490998363338789
Visa_fechaalta_lag3	0.000137588292756498	0.00422951446084726	0.00490998363338789
mcomisiones_otras_lag3	0.000129207143071327	0.00115321718805183	0.00327332242225859
Master_mpagominimo_lag1	0.000129088064942695	0.00412891096220455	0.00327332242225859
ccajas_transacciones	0.000127306108748604	0.00448491830728271	0.00654664484451719
Visa_cconsumos	0.000127206881992196	0.00223254696094848	0.00490998363338789
Master_mconsumospesos_lag1	0.000123912084260924	0.00310248763728769	0.00490998363338789
Visa_mconsumospesos_lag3	0.000122891776841893	0.00121181095970786	0.00490998363338789
mttarjeta_visa_debitos_automaticos	0.000117711132617076	0.00224038495324179	0.00490998363338789
Visa_fechaalta_lag1	0.000110923161053842	0.0105612740400304	0.00818330605564648
mpasivos_margen_lag1	0.000110016421794054	0.00455570875962931	0.00654664484451719
ctarjeta_visa_debitos_automaticos_lag3	0.000108455353845938	0.00257675908347794	0.00490998363338789
mcomisiones	0.000104017023373593	0.00205018937927574	0.00654664484451719
mrentabilidad_annual	0.000102069574567523	0.00270739547454207	0.00654664484451719
Master_msaldototal_lag1	9.9365752837858e-05	0.0026333646814791	0.00654664484451719
cliente_edad_lag6	9.92069432040206e-05	0.000727346567764204	0.0016366612111293
Master_mfinanciacion_limite_lag3	9.83129030272992e-05	0.00319704058822106	0.00490998363338789
mtransferencias_emitidas_lag1	9.44481563633175e-05	0.00586706222146213	0.00327332242225859
Master_mpagospesos	9.1569066052765e-05	0.00164197335870243	0.00327332242225859
cliente_edad_lag3	9.0491962324071e-05	0.00167016145537676	0.00327332242225859
cmobile_app_trx_lag6	9.00075803009183e-05	0.00255518548761699	0.00654664484451719
mtarjeta_master_consumo	8.9799763515874e-05	0.00126529091931888	0.00327332242225859
mcomisiones_lag3	8.83992257398679e-05	0.00316917748147108	0.00327332242225859
mttarjeta_visa_debitos_automaticos_lag1	8.6936305402426e-05	0.00229931327334937	0.00490998363338789
mactivos_margen_lag3	8.59735723916317e-05	0.00105605475919642	0.00327332242225859
mcomisiones_otras	8.17576907722306e-05	0.00156160526211451	0.00327332242225859
mactivos_margen_lag6	8.09210297136565e-05	0.00224473408311185	0.00818330605564648
ccomisiones_otras_lag6	8.00680807942081e-05	0.00180494624724002	0.00327332242225859
chomebanking_transacciones_lag6	7.73466123251748e-05	0.00217789130249347	0.00654664484451719
ccajas_transacciones_lag1	7.42803222897167e-05	0.00224312825054444	0.00327332242225859
ccajas_transacciones_lag3	7.37494234742226e-05	0.00177927204321586	0.0016366612111293
cliente_antiguedad_lag1	6.95665764046958e-05	0.00390270841632525	0.00327332242225859
cdescubierto_preacordado_lag1	6.89730780579622e-05	0.000639169154464538	0.0016366612111293
mrentabilidad_annual_lag3	6.85539698795125e-05	0.00184381121878218	0.00327332242225859
cmobile_app_trx	6.80626415627515e-05	0.00350041868260784	0.00654664484451719
Master_mconsumosdolares_lag1	6.31047991149146e-05	0.00119064838051594	0.00327332242225859
mttarjeta_visa_debitos_automaticos_lag3	6.30737149205642e-05	0.000593336016603085	0.0016366612111293
mttarjeta_visa_debitos_automaticos_lag6	6.28861798570487e-05	0.00198565976223661	0.00654664484451719
tmobile_app_lag6	6.20129752553067e-05	0.00239378975606524	0.00654664484451719
Master_fechaalta_lag1	6.14891462097947e-05	0.00112261078399919	0.00327332242225859
ctarjeta_debito_transacciones	6.00430688687492e-05	0.00130015086796971	0.0016366612111293
Master_mlimitecompra	5.94765626253385e-05	0.000463999585236388	0.0016366612111293
mrentabilidad_annual_lag1	5.71293432841307e-05	0.00290858335477311	0.00654664484451719
Master_mfinanciacion_limite_lag1	5.68323665110478e-05	0.000868191465863995	0.00327332242225859
Master_mpagominimo_lag6	5.66151910904386e-05	0.00284912931567025	0.00327332242225859
cseguro_accidentes_personales	5.498315853194e-05	0.00332278301336546	0.0016366612111293
ctarjeta_visa_debitos_automaticos_lag6	5.28367266926055e-05	0.00140597332245649	0.00327332242225859
chomebanking_transacciones_lag3	5.19150194755821e-05	0.0022948207655715	0.00490998363338789
Master_mpagospesos_lag3	5.11328341772184e-05	0.00063162747651403	0.0016366612111293
Master_madelantodolares	4.72396482332131e-05	0.00118751318359862	0.00327332242225859
Master_mconsumospesos	4.70878699320865e-05	0.000865887860811939	0.0016366612111293
mpasivos_margen_lag3	4.6077478791444e-05	0.00128520133144931	0.00490998363338789
mcomisiones_lag6	4.1609618011915e-05	0.00143906494357773	0.00327332242225859
mrentabilidad_annual_lag6	4.14654529784097e-05	0.0026774772844469	0.00490998363338789
ctarjeta_visa_debitos_automaticos	4.07222600069582e-05	0.00185656229404958	0.00327332242225859
Master_madelantodolares_lag6	3.84882911799226e-05	0.00180529991274594	0.00490998363338789
chomebanking_transacciones_lag1	3.55429436151468e-05	0.00217601783116483	0.00327332242225859
Master_cconsumos_lag1	3.5393094972552e-05	0.00111577643706052	0.00327332242225859
Master_cadelantosefectivo	3.43251562483094e-05	0.000476416112052244	0.0016366612111293
mcomisiones_otras_lag6	3.42677465550599e-05	0.000791254880536189	0.0016366612111293
numero_de_cliente_lag6	3.42147880590921e-05	0.000525451356521326	0.0016366612111293
Master_msaldopesos_lag3	3.37422106796724e-05	0.00208430376280599	0.0016366612111293
Visa_Fvencimiento_lag6	3.36904305682989e-05	0.00151422364284877	0.0016366612111293
