fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 120539	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1024	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	5711	88575323.838081	1
20231123 120845	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	5360	86922438.7806097	2
20231123 121044	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	805	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	5595	86922456.2718641	3
20231123 121228	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	664	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	4880	87326696.6516742	4
20231123 121521	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	4956	87420323.838081	5
20231123 121916	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1461	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	5196	87544301.8490755	6
20231123 122400	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1766	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	5099	87616425.2873563	7
20231123 122558	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	6035	85060827.0864568	8
20231123 122942	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	4820	84526626.6866567	9
20231123 123826	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	5320	87505667.1664168	10
