Feature	Gain	Cover	Frequency
mtarjeta_visa_consumo	0.135819195643001	0.00846106846927752	0.0053410740203193
mcaja_ahorro	0.134584080120892	0.0194134562943912	0.0111465892597968
ctarjeta_visa	0.0627436944198887	0.00401915063698874	0.00203193033381713
cdescubierto_preacordado	0.0592535178645125	0.0187152394202126	0.0146879535558781
chomebanking_transacciones	0.0583464592287249	0.0120045814782696	0.00505079825834543
mcuenta_corriente	0.0353498142774525	0.0231442227056448	0.0211320754716981
mcuentas_saldo	0.0313698985152624	0.0163504724527581	0.0113207547169811
ctrx_quarter	0.0283748858294894	0.0139042763550852	0.00824383164005806
Visa_status	0.0260464216928759	0.0130655609793941	0.00876632801161103
mprestamos_personales	0.0234648710830807	0.0208473875873122	0.0113788098693759
Visa_delinquency	0.0221392282430138	0.00681290823904385	0.00685050798258345
mpayroll	0.0209027227847735	0.00739156194144448	0.00330914368650218
Master_status	0.0207510816833636	0.00773782152015313	0.00882438316400581
mpasivos_margen	0.0185221897390899	0.0133003621668689	0.00940493468795356
mautoservicio	0.0120530746969531	0.00659235108282679	0.0041799709724238
Visa_mpagominimo	0.0111361110148079	0.01792215165227	0.0234542815674891
cmobile_app_trx	0.0107747036350425	0.0249674461956324	0.0472568940493469
Visa_msaldopesos	0.0101861763055376	0.0145973527731811	0.0186357039187228
Visa_fechaalta	0.00981201564645884	0.0224721759710556	0.0261828737300435
mactivos_margen	0.00964286631553186	0.0201331894777489	0.0124238026124819
Visa_Finiciomora	0.00937030377128173	0.0120626473633086	0.0044121915820029
Master_fechaalta	0.00896973166177176	0.0231650365744454	0.0341944847605225
thomebanking	0.00872079629648935	0.0167982723294617	0.0289695210449927
Visa_mconsumospesos	0.0082706280832246	0.017876064004719	0.0256023222060958
Visa_mconsumototal	0.0080535402647233	0.0163767374674117	0.0239187227866473
mrentabilidad	0.00743524881787479	0.0163892312622535	0.013410740203193
Visa_mpagospesos	0.00736939961014729	0.0186972274935522	0.0265312046444122
Visa_Fvencimiento	0.0072937139350377	0.0181681843270716	0.0265312046444122
mrentabilidad_annual	0.0070747258297099	0.0204446583183243	0.0154426705370102
mextraccion_autoservicio	0.00666001154856795	0.00267826102574417	0.00179970972423803
Master_Fvencimiento	0.00662528231111268	0.0220104117360169	0.0293759071117562
tmobile_app	0.00662526539060989	0.0176870554137717	0.0261248185776488
Visa_msaldototal	0.00659249399635715	0.0135751164428052	0.0179970972423803
Visa_mconsumosdolares	0.00642187435075037	0.0176005285733785	0.0258345428156749
mcomisiones	0.00641961267704053	0.0156178896930683	0.0132946298984035
internet	0.00634704932123872	0.0107676016958103	0.0160232220609579
mcomisiones_otras	0.00632500019752301	0.0154317925154891	0.0123657474600871
cliente_edad	0.00611359444987511	0.0226155590394206	0.0166618287373004
Master_mlimitecompra	0.00566631367272299	0.0136856041891526	0.0194484760522496
ctarjeta_visa_transacciones	0.00555833541048169	0.00661512057691835	0.00354136429608128
cliente_antiguedad	0.00528113066708035	0.0202334205519884	0.0175907111756168
Master_mfinanciacion_limite	0.00518182057736219	0.0140908309660091	0.018577648766328
Master_delinquency	0.00469903341357656	0.00507431825849999	0.00621190130624093
foto_mes	0.00461817149497936	0.011823636746479	0.0117271407837446
mttarjeta_visa_debitos_automaticos	0.00454910648103713	0.0149083422861662	0.0101596516690856
Master_msaldototal	0.00451641328316792	0.0108467233289342	0.0145137880986938
numero_de_cliente	0.00442573280202222	0.0168011365659434	0.0163134978229318
Visa_cconsumos	0.00429676506714592	0.0123001191274502	0.0161973875181422
Master_msaldopesos	0.00414346950944721	0.010572870105461	0.0148040638606676
Visa_mfinanciacion_limite	0.00401302805382107	0.0140244059101442	0.0127140783744557
Master_fultimo_cierre	0.00392419188947067	0.0104208820772991	0.0142235123367199
ccajas_transacciones	0.00388360060691081	0.0126057208315069	0.0145137880986938
Master_mpagominimo	0.00374161545969411	0.00897395915609568	0.0132365747460087
Visa_mlimitecompra	0.00366934640966968	0.0124549945895683	0.0128882438316401
