fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 213707	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1613	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.135221395906073	0.584692130600967	255	40155	4671	77581720.6396802	1
20231123 213819	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	448	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.239734886632617	0.149583411327674	501	17022	5181	75381355.822089	2
20231123 214135	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1393	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.100895634504569	0.287079455508799	403	13865	5033	76648380.3098451	3
20231123 214332	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1896	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.193926023550241	0.0216919327176693	332	31580	4608	71483370.3148426	4
20231123 214440	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.08007003838652	0.828669041011607	975	29986	5149	75136030.4847576	5
20231123 214543	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	265	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.208850022133744	0.380397721125244	550	43048	4423	73975891.5542229	6
20231123 214757	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.162583421253332	0.702395269963621	842	3989	5366	73910883.5582209	7
20231123 214941	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	273	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.114484653734324	0.561274444305183	90	8728	5317	77372364.3178411	8
20231123 215034	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	144	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295460577602102	0.991685206458327	693	22814	4943	76795201.8990505	9
20231123 215212	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	816	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.14512984974473	0.789199019273573	263	35227	4731	75441000.9995002	10
20231123 215853	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3951	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0200188149544209	0.426841415468199	903	45472	4648	75715414.2928536	11
20231123 220007	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	368	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.221162577699129	0.221953478119557	591	21609	4874	75740090.9545227	12
20231123 220314	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0401773294380131	0.452798209184874	769	3106	4495	78793010.9945028	13
20231123 220350	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272175826230103	0.91182047783104	17	10106	3977	75144328.3358321	14
20231123 220444	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.264888431934941	0.62945319692852	827	47558	5749	74160438.2808596	15
20231123 220957	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4132	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0712469580709858	0.0734496149895177	184	25205	4821	75061195.902049	16
20231123 221520	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.037325596421927	0.8696410649113	631	175	5083	76262558.2208896	17
20231123 222258	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.041601910010542	0.343834505207429	882	200	5421	75808842.0789605	18
20231123 223020	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0470832268630791	0.469821657897543	702	172	5173	76787540.7296352	19
20231123 223149	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	394	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233407562572158	0.56966293972458	938	20592	4946	75445286.3568216	20
20231123 223232	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280002940385689	0.898427504961312	391	28224	4668	75930836.5817091	21
20231123 223723	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2862	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0363087101767984	0.222728061866936	675	25443	4834	76930755.6221889	22
20231123 223857	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0740349818474418	0.65515293722942	229	42939	5298	76878197.9010495	23
20231123 224049	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	903	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0483703032806942	0.821668461945239	715	27197	5020	76777021.4892554	24
20231123 224217	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	235	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.07160558491696	0.413928112801265	767	8919	5319	76750228.3858071	25
20231123 224318	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	279	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.250664937088989	0.833072674468569	642	27290	5499	73845070.9645177	26
20231123 225224	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7505	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0409311422142846	0.0235385493394775	346	27745	4680	72839740.129935	27
20231123 225509	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.196474615664631	0.929092181487189	859	3603	5198	75257878.0609695	28
20231123 225656	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	477	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.254745337230542	0.255372322096583	131	29989	5686	74714361.8190905	29
20231123 230014	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1575	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.120105234314215	0.148289693224452	158	36299	4659	75966270.3648176	30
20231123 230718	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3232	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0642201481528466	0.0431742568786525	529	2968	5387	76738656.171914	31
20231123 231145	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1907	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0530407996138293	0.471541448825556	897	47365	5087	75720035.4822589	32
20231123 231847	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3849	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0629645528922852	0.0927456468447914	419	24437	4661	76063514.7426287	33
20231123 231954	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	273	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.254527406912181	0.695354462138367	448	45473	5703	76552143.4282859	34
20231123 232145	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	80	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.189887567086912	0.988956178130939	98	4865	4748	75737873.0634683	35
20231123 232351	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.128283726663733	0.891895621770362	267	13106	5302	76226529.7351324	36
20231123 232552	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	883	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.155338962775428	0.67587250118826	51	44158	4329	75879688.6556722	37
20231123 232726	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161679433267247	0.889651079161333	865	21892	4870	76498385.8070965	38
20231123 232856	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.298680960503863	0.867783310995586	760	11573	5002	74873476.2618691	39
20231123 233142	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.214369113239035	0.2851186957014	1001	4377	5626	71404526.7366317	40
20231123 234137	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6452	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0224487680524922	0.0404643659158466	67	12009	4612	74530612.6936532	41
20231123 234453	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1138	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.129046229472378	0.25174042025513	909	22643	5077	76121109.9450275	42
20231123 235020	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179985172713016	0.601174703354975	322	315	6163	70264037.4812594	43
20231123 235121	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.130513336939582	0.943301835615908	1005	33065	5780	74834652.6736632	44
20231123 235300	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	945	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.159970142027072	0.0419227285647387	144	23765	4979	73530088.4557721	45
20231123 235719	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	175	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0741814955647362	0.935203334273697	476	1951	3896	75843562.2188905	46
20231123 235919	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	976	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.297768735146946	0.139165354672539	288	46668	4515	73869642.6786607	47
20231124 000050	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.277147369886854	0.958296825121338	476	18495	5088	77069937.0314843	48
20231124 000252	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.230457627089328	0.430967087882043	118	21071	4228	75434924.5377311	49
20231124 000555	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.108496982498926	0.980685473544702	534	4163	5465	77640932.033983	50
20231124 000746	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	426	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.225549470931927	0.241403672119871	111	20874	5188	76184809.5952024	51
