fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 150054	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	5304	87465563.2183908	1
20231123 150240	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1356	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	5195	87645194.9025487	2
20231123 150401	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	937	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	5365	84683400.7996002	3
20231123 150548	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1364	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	5533	88176306.3468266	4
20231123 150725	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	992	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	6652	87126974.5127436	5
20231123 150917	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1784	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	5609	87295880.5597201	6
20231123 151225	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2152	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	5163	88130164.4177911	7
20231123 151327	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	529	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	5213	86679894.5527236	8
20231123 151503	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	5211	84455433.7831084	9
20231123 151906	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2415	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	4975	87711031.984008	10
