Feature	Gain	Cover	Frequency
mcaja_ahorro	0.115076842321169	0.0175774362641328	0.0110326105871298
ctarjeta_visa	0.0784411806159096	0.00320394103166373	0.00198378171440504
ctrx_quarter	0.0671387738356173	0.0139814795752877	0.00897922249678071
Visa_status	0.060560785927209	0.00872194213497699	0.00762189816587199
cdescubierto_preacordado	0.0600535681412596	0.0164265286670455	0.0142693070685275
mcuenta_corriente	0.0559311615268625	0.0209445601722944	0.0223088434900637
chomebanking_transacciones	0.0406955201991473	0.0115954250680263	0.00522047819580274
mtarjeta_visa_consumo	0.0302794227645493	0.0053884246518795	0.0036195315490899
mprestamos_personales	0.0275880928186203	0.0207854248755562	0.0119026902864302
mcuentas_saldo	0.0273522636812312	0.0145188474041949	0.0106149723314656
mpayroll	0.0237956840965548	0.00407975444909536	0.00222740403020917
Visa_mpagospesos	0.021381095876925	0.0202995199039904	0.0297219225281036
mautoservicio	0.0191423995875804	0.0058368800236506	0.00407197299272613
ctarjeta_visa_transacciones	0.0191367630979275	0.00586899373886145	0.00299307416559357
mpasivos_margen	0.014561850086106	0.0128047360315398	0.00964048306824905
Visa_delinquency	0.0137836109498506	0.00618892285596212	0.00633418021090732
thomebanking	0.0137701385019954	0.0177598069713033	0.0291650715205513
cmobile_app_trx	0.0125287623708385	0.0268218415124143	0.049698952424042
Visa_mpagominimo	0.012441425926799	0.01799171997755	0.0230745136254481
Visa_fechaalta	0.0105096283880244	0.0271257090766398	0.0307312149792921
Master_status	0.0103416114120069	0.00511195070611851	0.00682142484251557
Master_fechaalta	0.00985527103484472	0.0261717262364294	0.0344899592802701
Visa_msaldototal	0.00920845045918198	0.0146444358350436	0.0179932481815334
Visa_mconsumospesos	0.00875202669689941	0.0167570515989731	0.0240490028886646
mrentabilidad_annual	0.00871425776135705	0.0200032514729835	0.0161486792190165
Visa_Fvencimiento	0.00815393691441482	0.0239942241606693	0.0294086938363554
mrentabilidad	0.0079283341050589	0.015661212697722	0.0136080464970591
Master_Fvencimiento	0.00769069052422216	0.0232704916866804	0.0322973584380329
mcomisiones	0.00763484135303116	0.0201815170994201	0.0145477325723036
Visa_msaldopesos	0.00757908709285211	0.0145483080990668	0.0187241151289458
mactivos_margen	0.0073692154339215	0.0176317449694647	0.0119026902864302
Visa_cconsumos	0.0072926954637238	0.0109052236375111	0.0169839557303449
foto_mes	0.00720983026661211	0.0126119985547759	0.013294817805311
cpayroll_trx	0.00700899467433971	0.00250217547346197	0.000870079699300456
Visa_mconsumototal	0.00693903930300869	0.0170067608351348	0.0236313646330004
Visa_Finiciomora	0.00675133426960372	0.00746153814700982	0.00292346778964953
mcomisiones_otras	0.00656859962245452	0.0200777618013315	0.0156614345874082
tmobile_app	0.00649008412863029	0.0177084236119532	0.0224480562419518
internet	0.00644743751555853	0.0107435101874742	0.0159050569032123
Master_mfinanciacion_limite	0.00621198520068266	0.0173809280355655	0.0204642745275467
Visa_mconsumosdolares	0.00612195216728604	0.017771797789664	0.0245014443323008
cliente_edad	0.00600409129672437	0.0224951594850223	0.0178540354296454
Master_mlimitecompra	0.00570014424068703	0.0149207506561847	0.0199422267079665
cliente_antiguedad	0.00559328731278462	0.0232564608057927	0.0185849023770577
Visa_mlimitecompra	0.00522385986533128	0.0137209426612766	0.0145129293843316
Visa_mfinanciacion_limite	0.0051783583034127	0.0141139369927567	0.0139560783767793
mextraccion_autoservicio	0.00493375698473765	0.00298367679659579	0.00180976577454495
numero_de_cliente	0.00472135895869802	0.0188909905765091	0.0181324609334215
Master_fultimo_cierre	0.00438503144216382	0.0108498217704821	0.0143041102564995
Master_msaldototal	0.00432511583542089	0.0129519699129978	0.0138516688128633
ccajas_transacciones	0.00425160895621215	0.0128115066104526	0.0141997006925834
Master_msaldopesos	0.00377668020885303	0.00922931207870308	0.0122159189781784
Master_mpagominimo	0.00361042814084527	0.00883777147990576	0.0121115094142623
mttarjeta_visa_debitos_automaticos	0.00356327182305195	0.0130211997995357	0.009536073504333
Visa_fultimo_cierre	0.00354209613324391	0.0106103303416585	0.0103713500156614
Master_delinquency	0.00299914103359028	0.00468287187627093	0.00595134514321512
Master_mpagospesos	0.00267100665835089	0.00995938033676655	0.00890961612083667
tcallcenter	0.00265506050474681	0.00831661133610342	0.00598614833118714
mcomisiones_mantenimiento	0.00262349146616179	0.0138649545586177	0.00737827585006787
Visa_mpagosdolares	0.0025644931495286	0.00627403896242701	0.00950127031636098
matm	0.00234858037657457	0.00116270687417166	0.000800473323356419
ctarjeta_debito_transacciones	0.00228692367206171	0.00497177413661902	0.00201858490237706
cproductos	0.00226774319639588	0.0139127176720699	0.00549890369957888
Master_mconsumosdolares	0.00199368265119464	0.00452210841436456	0.00772630772978805
mcaja_ahorro_dolares	0.00182742969629337	0.00941133019041447	0.00574252601538301
mcuenta_debitos_automaticos	0.00182663153324167	0.00568739923052361	0.00309748372950962
Master_mconsumototal	0.00175292635417586	0.00540545214393835	0.00612536108307521
Master_mconsumospesos	0.00174717594211257	0.00544947203401774	0.00640378658685136
ctarjeta_master	0.00172500993078128	0.00171022420389052	0.00139212751888073
ccomisiones_otras	0.00171438173155014	0.0135692769597683	0.0055337068875509
Master_mpagosdolares	0.00154440406216704	0.00449971416471555	0.00682142484251557
mtransferencias_emitidas	0.00147331374585434	0.00482005800920047	0.00281905822573348
Master_cconsumos	0.00139798838016439	0.00397470994571985	0.00577732920335503
cseguro_accidentes_personales	0.00116137467712847	0.00532192033724528	0.00372394111300595
mpagomiscuentas	0.00105625386848111	0.00512831455718005	0.00261023909790137
active_quarter	0.000963806053400597	0.00483838062387239	0.00281905822573348
mtransferencias_recibidas	0.000889700530917546	0.00428841455020612	0.00222740403020917
mtarjeta_master_consumo	0.000863919542265351	0.00370658380357958	0.00174015939860091
Visa_msaldodolares	0.000818693801335049	0.00242344236104368	0.00257543590992935
Master_madelantopesos	0.000794192820144226	0.00190784128793307	0.00382835067692201
Visa_mpagado	0.00077646259632683	0.00634959498522494	0.00365433473706192
Visa_madelantopesos	0.000689654916774933	0.0012102015211069	0.001914175338461
Visa_madelantodolares	0.000591645815016304	0.000546576474852733	0.00125291476699266
cprestamos_personales	0.000553094277804649	0.00561616285585315	0.00198378171440504
Master_cadelantosefectivo	0.000456731161187291	0.0012429746322767	0.00247102634601329
ctarjeta_visa_debitos_automaticos	0.000434375703579303	0.00488175050853225	0.00187937215048898
Master_msaldodolares	0.000427228563269027	0.0011899881920759	0.00142693070685275
Master_madelantodolares	0.000415829592528947	0.00119106308724425	0.0022970104061532
Master_mpagado	0.000337353575819017	0.00108355980619428	0.00132252114293669
ccajas_depositos	0.000332523566067863	0.00221125746307942	0.000765670135384401
Visa_cadelantosefectivo	0.000311061350745224	0.000723836027197502	0.00135732433090871
cseguro_vida	0.000310347622881781	0.00582710575850262	0.00222740403020917
ccajas_consultas	0.000219469504659828	0.00198672992312046	0.000696063759440365
matm_other	0.000171558120308341	0.00159698523282544	0.000661260571468347
ctarjeta_master_transacciones	0.000150449856409511	0.00312411450027333	0.00111370201510458
cpagomiscuentas	0.000135758802286851	0.00205143369830143	0.000765670135384401
cextraccion_autoservicio	0.0001163292102818	0.0030666072228542	0.00118330839104862
ccallcenter_transacciones	0.000107105814547291	0.00218875695883382	0.000800473323356419
ccuenta_debitos_automaticos	6.42535244848866e-05	0.000402046811468985	0.000139212751888073
cseguro_vivienda	5.28481461081381e-05	0.000259125374436921	0.000139212751888073
ccajas_extracciones	3.81295480586953e-05	0.00201023405734493	0.000696063759440365
mttarjeta_master_debitos_automaticos	3.08354575603082e-05	0.000526266410402088	0.000208819127832109
ccajas_otras	2.67009487310818e-05	0.00140716384014145	0.000487244631608255
catm_trx	2.38585840350505e-05	3.14271767338975e-05	3.48031879720182e-05
catm_trx_other	1.03133229785942e-05	0.000603070217203478	0.000208819127832109
ctransferencias_emitidas	1.01942289595193e-06	0.000100511702867246	3.48031879720182e-05
