fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 214136	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	4250	76174517.7411294	1
20231123 214258	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	452	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	4680	74915462.2688656	2
20231123 214437	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	477	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	4980	73834152.9235382	3
20231123 214733	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1296	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	5326	75841918.0409795	4
20231123 215010	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	857	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	6311	73513394.8025987	5
20231123 215346	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1880	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	4977	74085617.6911544	6
20231123 215805	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1205	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	5196	77202492.7536232	7
20231123 220015	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	4712	73552431.784108	8
20231123 220304	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	4478	74404164.9175412	9
20231123 220937	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2047	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	5703	77114662.1689155	10
20231123 221108	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	743	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0998856591968797	0.977963067230303	575	40474	4121	75547242.8785607	11
20231123 221155	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272497323336429	0.857876083078445	67	13945	4633	76729259.870065	12
20231123 221355	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1297	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0486363680631621	0.0765921384183457	976	12282	5294	74219541.2293853	13
20231123 221541	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1137	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.253454605706502	0.0490259727480589	352	4326	4962	72897244.3778111	14
20231123 221631	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	190	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233328907422256	0.879250114493479	940	18644	4447	76163613.6931534	15
20231123 221750	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.127868566588149	0.436334156510566	187	49878	5409	74903116.9415292	16
20231123 222258	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2538	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0210076747431594	0.1444540021668	606	5712	5575	75838668.165917	17
20231123 222407	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.124398908602831	0.495121848282724	73	10020	5103	75142208.3958021	18
20231123 222509	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233407562572158	0.56966293972458	938	20592	4869	76683796.6016991	19
20231123 222703	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	808	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0594743730174283	0.557660685996218	496	26699	4664	75112959.5202399	20
20231123 222752	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280002940385689	0.898427504961312	391	28224	5380	73985697.1514243	21
20231123 223220	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2059	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.064180756576087	0.528991139355193	633	24935	5437	76159870.5647176	22
20231123 223620	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0704939703394116	0.338636744065702	602	19333	5087	76405692.6536732	23
20231123 223940	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1308	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0504855156275004	0.723625916730051	611	23672	4939	76488769.1154423	24
20231123 224421	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	939	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0201342333844232	0.155375914188384	89	2810	5949	75522937.0314843	25
20231123 224833	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	902	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0334380516228108	0.339355740020513	70	13346	4818	77108242.8785607	26
20231123 225634	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0565128887574499	0.072945523985494	611	20430	4784	74026262.8685657	27
20231123 230336	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	927	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0513868026271364	0.426746434893421	651	11790	5505	76944640.17991	28
20231123 231056	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	999	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0317934671624778	0.288014892845466	162	10607	4911	76427017.9910045	29
20231123 231859	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1109	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0362834625030634	0.266654007158917	55	12943	4670	76932308.8455772	30
20231123 232741	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0327722403153701	0.427061854471481	603	13250	4493	76197735.6321839	31
20231123 234951	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7512	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0270757600474778	0.311251642664581	8	10422	5078	78235169.4152924	32
20231124 000029	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3947	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0230166965539124	0.308336912451224	8	24023	4162	75759233.3833084	33
20231124 001628	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0279424103393393	0.340726261153208	8	6288	4677	77593733.6331834	34
