Feature	Gain	Cover	Frequency
mcuenta_corriente	0.0782394363325388	0.0174153202299672	0.0193975353719763
cdescubierto_preacordado	0.069287814394079	0.00996108853521675	0.0130077590141488
Visa_status	0.0673214695404013	0.0131264943225418	0.0116575384147269
mcaja_ahorro	0.062158968438096	0.013040279087764	0.0128366042902784
mtarjeta_visa_consumo	0.0568426232484242	0.0050143902935069	0.00680815457173285
ctrx_quarter	0.0487642207291421	0.0212832793018544	0.0159364065114864
Visa_delinquency	0.03987381337595	0.00537630232996809	0.00823444393731934
mcuentas_saldo	0.0312173501282383	0.0195361512064895	0.0179141944317663
Visa_mpagospesos	0.0300265053399142	0.0110986752706647	0.0161455956184391
mautoservicio	0.0275393672652864	0.00780646722166581	0.00758785942492013
mprestamos_personales	0.0274476528140797	0.024107555390691	0.0186938992849536
internet	0.025181783294486	0.00445336265954618	0.00867183934276586
mpayroll	0.0245148524704075	0.0108163301100883	0.00747375627567321
chomebanking_transacciones	0.0239845345970613	0.0240635323461322	0.0168111973223794
Master_status	0.0211430610359954	0.00972662250649759	0.00935645823824738
mpasivos_margen	0.0210097940343465	0.016170113875653	0.0135212231857599
Visa_Finiciomora	0.0175618838575792	0.0176889386136628	0.0114863836908565
ctarjeta_visa_transacciones	0.0150324486451329	0.0107681414805013	0.00770196257416705
mextraccion_autoservicio	0.014789844739345	0.0058654973079507	0.00513464171611136
Visa_mconsumospesos	0.0114234898875062	0.0110881823939439	0.0157462345960749
Visa_mpagominimo	0.0102992056261438	0.00959063143739125	0.0164688878746387
Visa_cadelantosefectivo	0.00915125946474397	0.000873703284247056	0.00271945839038491
Visa_msaldopesos	0.00906620099342717	0.0103524305421428	0.0167161113646737
mactivos_margen	0.00854581195314438	0.0175811448195817	0.0157842689791572
mrentabilidad_annual	0.00845097566131775	0.0290292656479494	0.0219078046554085
Visa_msaldototal	0.00837781600387455	0.00960442857795242	0.0147383234443937
Visa_fechaalta	0.00765494916669738	0.0187521900612211	0.0208428419291039
Visa_mconsumototal	0.00735717417456048	0.0120141195357756	0.0162787159592271
Master_mpagominimo	0.00711860670438384	0.00616903088916356	0.0106496272630458
mrentabilidad	0.00701116668902083	0.0174683434592953	0.0174007302601552
Visa_cconsumos	0.00684648227091516	0.00498543029681233	0.0101551802829758
cpayroll_trx	0.00634775994380878	0.00435726594564557	0.00186368477103301
ctarjeta_visa	0.00603683624212077	0.00127584202478716	0.000779704853187281
cliente_edad	0.00558415133825305	0.0265523456473933	0.0200631370759166
thomebanking	0.00546495092567726	0.00693820832309038	0.0134261372280542
Master_fechaalta	0.00535689436424682	0.0158448859253113	0.0199490339266697
Master_delinquency	0.00502577156043209	0.0044847531660293	0.00692225772097977
matm	0.00496780975350178	0.00395544700599556	0.00368933515898372
cmobile_app_trx	0.00494942113087613	0.00977497817391446	0.0192073634565647
Visa_mfinanciacion_limite	0.00468575861931631	0.0168673875675507	0.0155750798722045
tmobile_app	0.0044844247873452	0.0058721632800677	0.0176099193671079
Visa_Fvencimiento	0.00426714965576744	0.0133862865556602	0.0180853491556367
mcomisiones_otras	0.00416778285130305	0.0110415769974892	0.0134641716111365
Master_msaldopesos	0.00416427954357406	0.0078378991134693	0.0109158679446219
Visa_mlimitecompra	0.00414650781018554	0.0120146943254963	0.0138445154419595
cliente_antiguedad	0.00404370241608535	0.0165357599155955	0.0157842689791572
mcomisiones	0.0040213076314568	0.0115166797846294	0.013159896546478
mttarjeta_visa_debitos_automaticos	0.00391591627145044	0.0129515300813552	0.0137113951011715
Master_Fvencimiento	0.003827008550401	0.0150837735060563	0.018370607028754
ccaja_ahorro	0.00382241818380028	0.00524343737787794	0.00245321770880876
Master_mlimitecompra	0.00372493810140925	0.0103678567332424	0.0141678076981591
ccaja_seguridad	0.00371334833541234	0.00728586964969342	0.00308078502966682
mcuenta_debitos_automaticos	0.00370351129840549	0.0120046578384906	0.00939449262132968
Master_mfinanciacion_limite	0.00370199186824006	0.00723852916015608	0.0120949338201734
Visa_mconsumosdolares	0.00367200120633338	0.0101900650515728	0.0141868248897003
numero_de_cliente	0.00363506700537883	0.0148203029871062	0.0159364065114864
Master_msaldototal	0.00361276054083987	0.00777618669365004	0.0114103149246919
