Feature	Gain	Cover	Frequency
mcaja_ahorro	0.103604564385609	0.0179068979537386	0.00906918316073289
cdescubierto_preacordado	0.0889642024097003	0.0228809820754403	0.0164225749126785
mtarjeta_visa_consumo	0.0812450240175992	0.00750101230359275	0.00545376554935964
ctrx_quarter	0.0806038028329954	0.0178426131806979	0.00765978307494332
mcuenta_corriente	0.0731310536019922	0.0231019297641024	0.017831974998468
Visa_status	0.0526471771249266	0.0177317000585899	0.00931429621913107
ctarjeta_visa	0.0456979858850041	0.00304763996229468	0.00134812182119002
Master_status	0.0376380518350164	0.0114091623020402	0.00931429621913107
mprestamos_personales	0.0263495868359872	0.0278807858607967	0.0137263312702984
Visa_delinquency	0.0255506365147514	0.011132227606844	0.00870151357313561
ctarjeta_visa_transacciones	0.0250498096794243	0.00624099635918783	0.00281880017157914
Visa_Finiciomora	0.0227487885994739	0.0213415031630591	0.0061891047245542
mpayroll	0.0214332948460827	0.0175809384534842	0.00643421778295239
internet	0.0196349804063943	0.0102805693691846	0.0136037747410993
mcuentas_saldo	0.019592392275527	0.0279740525957426	0.0139101660640971
mautoservicio	0.0167361370976604	0.00769673514339984	0.00533120902016055
Visa_msaldopesos	0.0133715153614038	0.0154183013580893	0.0166676879710767
Visa_msaldototal	0.0120017089753333	0.0138071371970958	0.0167902445002758
Visa_mpagospesos	0.0114916700835403	0.014776295047034	0.0237146884000245
ctarjeta_debito_transacciones	0.0109023542260417	0.00414154902071489	0.00147067835038912
mextraccion_autoservicio	0.0102522967844521	0.00719948942794172	0.00367669587597279
mactivos_margen	0.0100000369816646	0.0267754749846785	0.0310680801519701
Master_delinquency	0.00788653630368377	0.00676389148062127	0.00692444389974876
Visa_mpagominimo	0.00779319476437714	0.0160975609672865	0.0202218273178504
cpayroll_trx	0.00774445100501344	0.00644626989411894	0.00153195661498866
mrentabilidad_annual	0.00745510716680105	0.0276945401128304	0.0292910104785832
mpasivos_margen	0.00737092082979289	0.0148350398347677	0.0223665665788345
Visa_mfinanciacion_limite	0.00649854413647487	0.0126003023013307	0.0109075310987193
mrentabilidad	0.00607114286548911	0.0180073697809951	0.0235921318708254
Visa_mconsumospesos	0.00579652143181118	0.0132290469735441	0.0205894969054476
Visa_fechaalta	0.00561700313739322	0.0191176445294487	0.0199154359948526
thomebanking	0.00530051687256118	0.0127484305816976	0.0218150621974386
mcomisiones	0.00449291790422705	0.015279588945014	0.0265947668362032
Master_fechaalta	0.00442164820133011	0.0198832093412368	0.0240210797230222
mcomisiones_otras	0.00439100170999557	0.0166493734804721	0.0286782278325878
Visa_mconsumototal	0.00433608488997427	0.0106872576196416	0.0182609228506649
ccaja_seguridad	0.00404951930128785	0.0101950196039284	0.00238985231938231
cliente_edad	0.00400923005735334	0.0219249453489851	0.0130522703597034
Visa_cadelantosefectivo	0.00335884896358302	0.00165768879634345	0.00343158281757461
Visa_mlimitecompra	0.00332148447602922	0.0145108625376494	0.0140940008578957
chomebanking_transacciones	0.00330830634216483	0.0136915994468763	0.0205894969054476
Visa_Fvencimiento	0.00327521034095042	0.0128638405298525	0.0163612966480789
Visa_cconsumos	0.00321445435243649	0.00720460619436995	0.011887983332312
Master_msaldopesos	0.00308671922070915	0.0119491457639244	0.0133586616827011
Master_mfinanciacion_limite	0.0030452838444457	0.00899408936428285	0.0138488877994975
Master_Fvencimiento	0.00303610849342824	0.0129577834113233	0.0207120534346467
ccaja_ahorro	0.00300598737264403	0.00821351717759798	0.00196090446718549
Master_msaldototal	0.00297756721693006	0.0118254423985478	0.0128684355659048
mcuenta_debitos_automaticos	0.00296376215146635	0.00950839063327468	0.00477970463876463
Visa_mconsumosdolares	0.00296323249325709	0.0136444542020243	0.0225504013726331
cmobile_app_trx	0.00291816408111006	0.0116230621417696	0.0272075494821987
Master_mlimitecompra	0.00281757180552011	0.0112311029119745	0.015809792266683
tmobile_app	0.00279066394280666	0.0126416937767939	0.0214473926098413
ctarjeta_visa_debitos_automaticos	0.0027711586038852	0.0119737807828323	0.0218763404620381
mttarjeta_visa_debitos_automaticos	0.00260657073000517	0.0125863942918376	0.0198541577302531
Master_mpagominimo	0.00257777443870619	0.00795268219693423	0.0103560267173234
cliente_antiguedad	0.00251731130559326	0.0129194367698645	0.011213922421717
tcallcenter	0.00230326773435868	0.00874507674371288	0.00594399166615601
ccomisiones_otras	0.00200870613997459	0.00955827191290176	0.0133586616827011
ccajas_transacciones	0.00198878446125198	0.00992169347697429	0.0108462528341197
