fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 105721	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	579	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.144390978662996	0.777768208131165	215	25172	4632	74568883.5582209	1
20231123 105914	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	946	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.11429446345137	0.64939600986545	757	31539	4236	73036635.6821589	2
20231123 110142	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.179704712308012	0.288171283861157	304	29647	4548	72580911.5442279	3
20231123 110349	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1029	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.224468856398016	0.358524468524265	516	46082	5188	74332135.932034	4
20231123 110504	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.195978027176461	0.587053685378778	416	23053	4299	74642252.3738131	5
20231123 110801	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2145	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161426564808353	0.189181794041651	790	43464	4591	72481270.8645677	6
20231123 111109	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1186	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.058029719174956	0.452152599243709	612	20039	4818	74859987.0064968	7
20231123 111249	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	635	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.295344249428599	0.541179783033294	665	36269	5343	72279519.7401299	8
20231123 111546	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0787824067816837	0.693080191510235	849	1945	5336	72975276.3618191	9
20231123 111958	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1476	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0280199143651407	0.250919924952032	78	7729	4548	73664669.6651674	10
20231123 112222	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1507	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0998856591968797	0.977963067230303	575	40474	5140	73886486.7566217	11
20231123 112344	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.272497323336429	0.857876083078445	67	13945	4083	73406726.1369315	12
20231123 112732	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2455	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0486363680631621	0.0765921384183457	976	12282	4216	72341813.0934533	13
20231123 112851	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	520	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.253454605706502	0.0490259727480589	352	4326	5054	72771125.4372814	14
20231123 112951	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233328907422256	0.879250114493479	940	18644	5458	74996138.9305347	15
20231123 113131	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	840	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.127868566588149	0.436334156510566	187	49878	4197	72867456.7716142	16
20231123 113251	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	382	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.233407562572158	0.56966293972458	938	20592	4913	72535276.8615692	17
20231123 113351	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280002940385689	0.898427504961312	391	28224	4386	73452262.8685657	18
20231123 114027	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4427	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0363087101767984	0.222728061866936	675	25443	4135	73950452.2738631	19
20231123 114229	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1013	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0740349818474418	0.65515293722942	229	42939	4518	74014739.6301849	20
20231123 114713	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3028	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0483703032806942	0.821668461945239	715	27197	4800	74315302.3488256	21
20231123 114757	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.250664937088989	0.833072674468569	642	27290	4411	74652495.2523738	22
20231123 114849	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.22149329515994	0.872624688302388	816	23791	4360	74565497.2513743	23
20231123 115246	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2019	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.03941862724905	0.387966219234784	577	20568	4281	73943924.5377311	24
20231123 115342	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.24895701864362	0.850910063312025	929	20538	4415	75755129.9350325	25
20231123 115422	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.251043807609131	0.831024994475652	928	17759	4460	75571244.3778111	26
20231123 115522	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.25531630742849	0.852133932157927	914	31034	4133	74971528.7356322	27
20231123 115627	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	141	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.247392736228794	0.855111965146337	1012	13009	4020	72521609.1954023	28
20231123 115718	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.280172085137759	0.858620542077569	929	19806	4186	73499839.0804598	29
20231123 120006	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2604	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0409311422142846	0.0235385493394775	346	27745	3560	68085477.2613693	30
20231123 120232	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.196474615664631	0.929092181487189	859	3603	4088	72546418.7906047	31
20231123 120421	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	379	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.254745337230542	0.255372322096583	131	29989	4350	74311699.1504248	32
20231123 120829	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1968	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.120105234314215	0.148289693224452	158	36299	5118	73313410.2948526	33
20231123 121309	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2044	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0642201481528466	0.0431742568786525	529	2968	4219	71382582.2088955	34
20231123 121917	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2334	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0530407996138293	0.471541448825556	897	47365	4629	72848734.1329335	35
20231123 122540	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3620	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.0629645528922852	0.0927456468447914	419	24437	4178	72931891.0544728	36
20231123 122754	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1292	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.254527406912181	0.695354462138367	448	45473	5099	74010328.3358321	37
20231123 122940	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.189887567086912	0.988956178130939	98	4865	4585	74719052.9735132	38
20231123 123144	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	348	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.128283726663733	0.891895621770362	267	13106	4670	72853908.045977	39
20231123 123416	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1021	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.155338962775428	0.67587250118826	51	44158	4451	72936253.3733133	40
20231123 123608	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	423	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.161679433267247	0.889651079161333	865	21892	4180	74664357.8210895	41
20231123 123732	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	59	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.298680960503863	0.867783310995586	760	11573	4783	71697550.7246377	42
20231123 123935	154	781356	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200005	0.214369113239035	0.2851186957014	1001	4377	4572	70952041.9790105	43
