Feature	Gain	Cover	Frequency
cdescubierto_preacordado	0.185424848690236	0.0164791925050136	0.0144628099173554
ctrx_quarter	0.130479304188569	0.0290448312110478	0.012396694214876
mcuenta_corriente	0.119826842689786	0.0548217157979574	0.0309917355371901
ctarjeta_visa	0.0577032125410809	0.0206806514805622	0.00826446280991736
mcaja_ahorro	0.0562989893300098	0.0364671476751899	0.0165289256198347
chomebanking_transacciones	0.0551850809154027	0.0499045753570945	0.0247933884297521
mpasivos_margen	0.0521141419302864	0.0185055558869766	0.00826446280991736
Master_status	0.0423100260110357	0.0216581918604357	0.0144628099173554
mprestamos_personales	0.0395085867441283	0.0428661056098949	0.0433884297520661
mpayroll	0.0347098831024882	0.0252141242165927	0.0206611570247934
Visa_status	0.0342923219507056	0.0327676207549684	0.0103305785123967
mcuentas_saldo	0.0291869402249139	0.0220068537471509	0.0247933884297521
Visa_delinquency	0.0244183807548361	0.025195274241406	0.012396694214876
mtarjeta_visa_consumo	0.0210423260925682	0.0395490380627632	0.0165289256198347
mautoservicio	0.0188811754136894	0.0436549493245806	0.0371900826446281
Visa_mpagospesos	0.0140355996153372	0.0150023515478304	0.0165289256198347
Visa_Finiciomora	0.0132371456997017	0.0209626134550783	0.00619834710743802
ctarjeta_visa_transacciones	0.0110718468208507	0.045982473729861	0.0268595041322314
mextraccion_autoservicio	0.00889627830163657	0.0263504035850397	0.0165289256198347
Visa_msaldototal	0.00585832157087438	0.0327573275586413	0.0289256198347107
thomebanking	0.00539614088553076	0.0112816564455973	0.0247933884297521
Visa_mpagominimo	0.00486358602826963	0.0243872762309466	0.0289256198347107
Visa_msaldopesos	0.00432255859834535	0.030519461368672	0.0309917355371901
Visa_cadelantosefectivo	0.00285886647706269	0.00342195074240126	0.00619834710743802
mcomisiones_mantenimiento	0.00239026494402705	0.00236818700607482	0.00413223140495868
mcomisiones	0.00180991872983065	0.00674282229687127	0.012396694214876
Visa_fechaalta	0.00154959968528503	0.0126532472326854	0.0185950413223141
Visa_mconsumototal	0.00148821370223894	0.00830221468859702	0.0144628099173554
Master_msaldototal	0.00141382355592184	0.0102528738492262	0.0206611570247934
mactivos_margen	0.00135283992746245	0.0158291100274215	0.0206611570247934
internet	0.00126490367676775	0.0046829478479097	0.0103305785123967
matm	0.00121805755343274	0.0113489829001815	0.00619834710743802
Master_mpagominimo	0.00117987625002167	0.0117060136030407	0.0144628099173554
foto_mes	0.00104548090604394	0.00160608770062838	0.00413223140495868
mcomisiones_otras	0.00102558001545891	0.0109462504056303	0.0103305785123967
mrentabilidad	0.000989872971749691	0.00416325779126714	0.00413223140495868
Master_fechaalta	0.000969882446562856	0.0198391424031042	0.0330578512396694
Master_mlimitecompra	0.000966458234165721	0.00346482414275464	0.00826446280991736
mcuenta_debitos_automaticos	0.00088824419361734	0.0132314205456764	0.012396694214876
ccomisiones_mantenimiento	0.000821048224623212	0.00673900933892752	0.00206611570247934
tmobile_app	0.000742763596202781	0.0106226770661365	0.0206611570247934
cmobile_app_trx	0.000703676298063522	0.0174118993019289	0.0413223140495868
Master_delinquency	0.000684412324965627	0.00616416565118318	0.00826446280991736
Master_msaldopesos	0.000625789130824178	0.0155634471055241	0.0268595041322314
Master_Fvencimiento	0.000577480779246865	0.00513302904556516	0.0103305785123967
mrentabilidad_annual	0.000558126613682603	0.00278550003698838	0.00826446280991736
Visa_madelantodolares	0.000527373657515751	0.00171395144752996	0.00413223140495868
Visa_cconsumos	0.00037194216099914	0.00498070764113639	0.012396694214876
