Feature	Gain	Cover	Frequency
cdescubierto_preacordado	0.155123935260401	0.0755766794414633	0.032967032967033
mcaja_ahorro	0.153164485402635	0.0632412079047044	0.0989010989010989
ctarjeta_visa_transacciones	0.0850062499261196	0.0595888064383273	0.043956043956044
Visa_delinquency	0.0845516511461845	0.0755766794414633	0.032967032967033
mcuenta_corriente	0.0826409656401302	0.032017950359298	0.0659340659340659
ctarjeta_visa	0.0526703054538014	0.0503844529609755	0.021978021978022
Visa_status	0.0495172658633326	0.0287815632298911	0.021978021978022
Visa_Finiciomora	0.0316968435118569	0.0338421843502906	0.021978021978022
mtarjeta_visa_consumo	0.0252621883353063	0.0529832287187693	0.043956043956044
Master_status	0.0251807983095112	0.00297026434111331	0.010989010989011
ctrx_quarter	0.0237117059270027	0.0290269868626135	0.032967032967033
mpasivos_margen	0.019758129380215	0.0695070228494819	0.032967032967033
ctarjeta_master	0.0191493269828499	0.0251922264804878	0.010989010989011
Visa_mconsumospesos	0.0189439036645235	0.0668914491788336	0.054945054945055
mprestamos_personales	0.0172833708463239	0.0125744468344124	0.043956043956044
active_quarter	0.0172487700196576	0.0395280037972956	0.032967032967033
Visa_msaldototal	0.0159084712396191	0.0279326076763947	0.021978021978022
Visa_mfinanciacion_limite	0.0130933136517503	0.0149500134737961	0.021978021978022
Visa_mlimitecompra	0.0129479720614862	0.000989658224699845	0.010989010989011
internet	0.0118158926474252	0.026785642317689	0.021978021978022
ctarjeta_debito_transacciones	0.0117543861958328	0.0251922264804878	0.021978021978022
mcuentas_saldo	0.0103094729690626	0.0489913224110144	0.054945054945055
Visa_cadelantosefectivo	0.00793563579242222	0.0237369339804625	0.010989010989011
mautoservicio	0.00789733334601798	0.00731299231829188	0.021978021978022
mtransferencias_recibidas	0.00767874903532173	0.00145529250002531	0.010989010989011
Visa_mpagospesos	0.00744614632768678	0.0250077396141665	0.021978021978022
mpayroll	0.0073406466108799	0.0288243156913979	0.032967032967033
Visa_msaldopesos	0.00670183852257684	0.0242025682557879	0.010989010989011
Visa_msaldodolares	0.00608944067873962	0.000989658224699845	0.010989010989011
chomebanking_transacciones	0.00260127049164338	0.00323177656983266	0.010989010989011
mcomisiones_otras	0.00234201306237595	0.00209996479853886	0.021978021978022
Master_delinquency	0.00175846642448949	0.00389863114098324	0.010989010989011
Visa_madelantodolares	0.00140562735546658	0.00230711756262736	0.010989010989011
mcuenta_debitos_automaticos	0.00138816182479144	0.00282946494488382	0.010989010989011
thomebanking	0.00130624076206165	0.00308291675476705	0.021978021978022
Visa_mconsumototal	0.000566693636534854	0.00415753179399968	0.010989010989011
Master_cadelantosefectivo	0.000502489007773802	0.00184486866321307	0.010989010989011
ccomisiones_otras	0.000299842686191143	0.00249360341282003	0.010989010989011
