Feature	Gain	Cover	Frequency
ctarjeta_visa	0.135954290102589	0.00703036156999895	0.00278164116828929
mcuenta_corriente	0.123446325943931	0.0469706933523033	0.0250347705146036
cdescubierto_preacordado	0.080482553506546	0.033732023121594	0.0250347705146036
mcaja_ahorro	0.0727444760597636	0.0271424527067014	0.0152990264255911
internet	0.0725510231949128	0.0194446049542939	0.0222531293463143
chomebanking_transacciones	0.0546578706930147	0.0370143105613929	0.019471488178025
Visa_status	0.045884649928295	0.0278524674936683	0.0125173852573018
mtarjeta_visa_consumo	0.0441358378845391	0.0387563599159503	0.0222531293463143
mautoservicio	0.0383034349308746	0.0189052581493749	0.0152990264255911
mprestamos_personales	0.0335951157484416	0.0563653312947423	0.0278164116828929
Visa_delinquency	0.0279371910248458	0.0233278497869674	0.0222531293463143
ctrx_quarter	0.0276977278224034	0.0216547297727144	0.0125173852573018
Master_status	0.0266922856304495	0.0194143931445976	0.0111265646731572
mpayroll	0.0265555582882183	0.0395632111112691	0.0208623087621697
Visa_mconsumospesos	0.0248979025085902	0.010082488885929	0.0139082058414465
mcuentas_saldo	0.023679510184693	0.0531446012156091	0.0403337969401947
ctarjeta_visa_transacciones	0.0154894904261371	0.0172914599496155	0.0111265646731572
Visa_mpagospesos	0.015301065057157	0.0150011482190958	0.0208623087621697
mextraccion_autoservicio	0.013925430065402	0.0239771162680738	0.0139082058414465
ccomisiones_otras	0.0124022745963468	0.00398163547788781	0.00139082058414465
thomebanking	0.00971792048655527	0.027415322407914	0.0403337969401947
Visa_Finiciomora	0.0084384617583487	0.00831789245140796	0.00278164116828929
Visa_msaldototal	0.0065006203944776	0.0288149978662244	0.0375521557719054
mactivos_margen	0.00581112256575168	0.0203060886398741	0.019471488178025
Visa_mpagominimo	0.00572645306858842	0.0290431353530805	0.0292072322670376
Visa_msaldopesos	0.00564097125905972	0.0294544598805477	0.0389429763560501
mcomisiones_mantenimiento	0.00349488932651626	0.00452823716240804	0.00556328233657858
Visa_mfinanciacion_limite	0.00343529664794568	0.00901113531935565	0.00973574408901252
mcomisiones	0.00328369739939979	0.01695848067002	0.0166898470097357
Visa_madelantodolares	0.00326572309591276	0.00509586894913234	0.00834492350486787
Visa_cconsumos	0.00325106996732251	0.0153118039733448	0.0278164116828929
Master_delinquency	0.00308092874453668	0.00899948918834515	0.0125173852573018
mpasivos_margen	0.00167751440967107	0.00554727894855578	0.00556328233657858
mrentabilidad_annual	0.00150974823000319	0.00841781604256889	0.00834492350486787
tcallcenter	0.00139813069185258	0.0125268244249728	0.00834492350486787
mcomisiones_otras	0.00102618849179928	0.00666490832089021	0.00834492350486787
Master_msaldototal	0.000965193422971089	0.00854082430932056	0.0111265646731572
Visa_fechaalta	0.000930749762437463	0.0085848432779937	0.0152990264255911
Visa_mconsumototal	0.000920154217349853	0.00492754829056513	0.00973574408901252
Visa_msaldodolares	0.000870725895471856	0.00146386756982164	0.00278164116828929
Visa_mlimitecompra	0.000865860448253718	0.00543424547591457	0.00834492350486787
Master_msaldopesos	0.000783057149538087	0.0103409818961639	0.0139082058414465
mrentabilidad	0.000752006918278175	0.00644139628551868	0.00834492350486787
cextraccion_autoservicio	0.000751037189943593	0.00415894622570398	0.00139082058414465
tmobile_app	0.000714233709887451	0.00621050694777943	0.00834492350486787
foto_mes	0.000651258970802395	0.00590459374505252	0.00973574408901252
Master_mconsumospesos	0.000597017557834675	0.00783635048322289	0.0111265646731572
cmobile_app_trx	0.000556221936490851	0.0162833350806078	0.0333796940194715
mpagomiscuentas	0.000526492967347366	0.00743997750146332	0.00695410292072323
Visa_mpagosdolares	0.000481049710094571	0.00502800947735315	0.00973574408901252
Master_mpagominimo	0.000470175430410595	0.00566218069906934	0.00695410292072323
Master_fechaalta	0.000423790053559469	0.0132702127226508	0.0222531293463143
cliente_edad	0.000404803704903231	0.00522072952556941	0.00834492350486787
Master_madelantodolares	0.000381739921349085	0.00451728830889406	0.0111265646731572
Master_cconsumos	0.00037727661370357	0.00721131838716713	0.0125173852573018
Visa_cadelantosefectivo	0.000368548425703086	0.000560605784469333	0.00139082058414465
mcuenta_debitos_automaticos	0.000303270742020535	0.00308866785038482	0.00556328233657858
ctarjeta_master	0.000267477733925244	0.00390461026680328	0.00278164116828929
mtransferencias_emitidas	0.000264076204123676	0.00425766155738622	0.00417246175243394
matm_other	0.000258579288427142	0.00311122557580643	0.00139082058414465
Master_madelantopesos	0.000245681967588476	0.00309590676179902	0.00556328233657858
Master_mpagospesos	0.00023259541725434	0.00340221384647052	0.00556328233657858
Master_mconsumosdolares	0.000218877918915235	0.00591684666716686	0.0139082058414465
Master_fultimo_cierre	0.00016476716444905	0.0021753886890902	0.00556328233657858
Master_mpagosdolares	0.000157929517298461	0.00469291707435222	0.00695410292072323
Master_mlimitecompra	0.000146984951980242	0.00556009075721313	0.0111265646731572
numero_de_cliente	0.000146288284990229	0.00362720027776981	0.00556328233657858
mcaja_ahorro_dolares	0.000141560325125298	0.002587410494054	0.00417246175243394
mttarjeta_visa_debitos_automaticos	0.000124070349488265	0.00360838443082185	0.00556328233657858
Master_mpagado	0.000110999576592341	0.00185579075015306	0.00417246175243394
Visa_mpagado	0.000109021007764858	0.00206861474573068	0.00417246175243394
Visa_mconsumosdolares	0.000103744919514211	0.00385524727823318	0.00973574408901252
Master_mfinanciacion_limite	8.36906911776235e-05	0.00286201540491447	0.00417246175243394
Visa_fultimo_cierre	7.71849094054311e-05	0.00157713524253802	0.00278164116828929
Master_Fvencimiento	7.55304468206345e-05	0.00490997796219875	0.0125173852573018
Master_mconsumototal	7.54716763994723e-05	0.00468360229863542	0.00695410292072323
ccajas_transacciones	7.15243416885126e-05	0.00314196965840088	0.00556328233657858
Master_cadelantosefectivo	6.98327585746571e-05	0.00224529208879811	0.00417246175243394
Visa_Fvencimiento	5.82919345152087e-05	0.00168043876660191	0.00278164116828929
cliente_antiguedad	4.44309585332776e-05	0.00261721777634779	0.00556328233657858
ctarjeta_debito_transacciones	3.44782226436787e-05	0.00298627983570567	0.00278164116828929
matm	1.33815797411979e-05	0.00310743579277194	0.00556328233657858
Master_msaldodolares	1.32815670560945e-05	0.000672776975015621	0.00139082058414465
Visa_madelantopesos	2.83140276488527e-06	0.000603682630112833	0.00139082058414465
