Feature	Gain	Cover	Frequency
Visa_status	0.217052079464113	0.0889159350885985	0.0625
mcuenta_corriente	0.0931922686392263	0.0647238422311417	0.0580357142857143
cdescubierto_preacordado	0.0809125735347929	0.0468772380199268	0.0401785714285714
internet	0.0567449702552547	0.0486723533442522	0.03125
ctrx_quarter	0.0566909679489378	0.0597638760784472	0.0491071428571429
mcaja_ahorro	0.0492473336754107	0.0752460787810427	0.0580357142857143
mpasivos_margen	0.0431290866858711	0.0286439015177734	0.0133928571428571
Visa_cconsumos	0.0401336297279078	0.0277398699661165	0.0267857142857143
mcuentas_saldo	0.0373838156688675	0.00990637262758262	0.0267857142857143
Visa_msaldopesos	0.0218984265348063	0.0270722394037971	0.03125
ctarjeta_visa	0.0215658195974501	0.0281728495697177	0.0178571428571429
Visa_mfinanciacion_limite	0.0190815701912405	0.00956221625639912	0.00446428571428571
mextraccion_autoservicio	0.0189852985131241	0.0197380568854428	0.0267857142857143
chomebanking_transacciones	0.0175435691938956	0.0134467702364974	0.0178571428571429
Visa_mpagospesos	0.017514145903767	0.0290814948384621	0.0267857142857143
Visa_delinquency	0.0174484254424717	0.0613463932774544	0.0580357142857143
ctarjeta_visa_transacciones	0.0172762325569399	0.0379680646580264	0.0267857142857143
Visa_mpagominimo	0.0162120407176381	0.00199537756947328	0.0133928571428571
Master_delinquency	0.01562887060754	0.0237048500666774	0.0267857142857143
mprestamos_personales	0.0125316194910903	0.00836586840141776	0.0223214285714286
Master_status	0.0121221261414341	0.0129654995781814	0.0178571428571429
mpayroll	0.0116036486169931	0.0278953779317174	0.0267857142857143
mautoservicio	0.0113241015103482	0.0501974132442513	0.03125
mtarjeta_visa_consumo	0.00978723771133208	0.0517151548343874	0.0491071428571429
matm	0.00947128997674637	0.00515246952083036	0.00892857142857143
Visa_madelantodolares	0.00924680350157931	0.0190987694763722	0.0133928571428571
Visa_mconsumospesos	0.00912245400382732	0.0126607862048048	0.0133928571428571
Visa_msaldototal	0.00909161661473716	0.0121216299183081	0.0133928571428571
Visa_Finiciomora	0.00600181772747802	0.0160965613538217	0.00892857142857143
ctransferencias_recibidas	0.0046803975288328	0.000598865373154991	0.00446428571428571
ctarjeta_debito_transacciones	0.00461272405700746	0.00446290850487468	0.00446428571428571
mactivos_margen	0.00441930249321487	0.0147654611411453	0.0267857142857143
Visa_madelantopesos	0.00430461832753292	0.00657377585725311	0.0133928571428571
mrentabilidad	0.00380344657857055	0.00629624302937105	0.0178571428571429
mtarjeta_master_consumo	0.00294500218167368	0.00243229780146223	0.00446428571428571
Visa_cadelantosefectivo	0.00286725791351462	0.00165965316400151	0.00892857142857143
Visa_mpagosdolares	0.00208738889058807	0.0101754245378475	0.00892857142857143
cextraccion_autoservicio	0.00207479209659737	0.00918657157204247	0.00892857142857143
Visa_mpagado	0.00170234653509985	0.00112463331351434	0.00892857142857143
mttarjeta_visa_debitos_automaticos	0.00102245476040754	0.0040212766519873	0.00446428571428571
cmobile_app_trx	0.000965267307347397	0.000418306269946066	0.00446428571428571
Visa_mconsumosdolares	0.000854329626321222	0.00092063848557686	0.00446428571428571
numero_de_cliente	0.000739457907369531	0.000408785124338329	0.00446428571428571
mcomisiones_otras	0.000651629697348742	0.00396051509936209	0.00446428571428571
mcomisiones_mantenimiento	0.000607535006565628	0.000741511225602003	0.00446428571428571
Visa_fechaalta	0.000592461125094711	0.000468420783138457	0.00446428571428571
ctarjeta_master	0.00052180651924542	0.0040888180435157	0.00446428571428571
active_quarter	0.000463119594730464	0.000571354402298703	0.00446428571428571
tmobile_app	0.000455395899371163	0.00114050596885269	0.00446428571428571
ccajas_transacciones	0.000356401114116779	0.000826760968922687	0.00446428571428571
mcuenta_debitos_automaticos	0.000337203061916128	0.00199272192860325	0.00446428571428571
Master_mpagominimo	0.000285817119581222	0.00165933497661616	0.00446428571428571
Master_mpagosdolares	0.000279196271597025	0.000686966564967452	0.00446428571428571
Master_cadelantosefectivo	0.000214753129677425	0.00155140826310122	0.00446428571428571
Master_mpagospesos	0.000212055101856735	0.000419530067582022	0.00446428571428571
